,TAXA_1,TAXA_2,TAXA_3,TAXA_4,TAXA_5,TAXA_6,TAXA_7,TAXA_8,TAXA_9,TAXA_10,TAXA_11,TAXA_12,TAXA_13,TAXA_14,TAXA_15,TAXA_16,TAXA_17,TAXA_18,TAXA_19,TAXA_20,TAXA_21,TAXA_22,TAXA_23,TAXA_24,TAXA_25,TAXA_26,TAXA_27,TAXA_28,TAXA_29,TAXA_30,TAXA_31,TAXA_32,TAXA_33,TAXA_34,TAXA_35,TAXA_36,TAXA_37,TAXA_38,TAXA_39,TAXA_40,TAXA_41,TAXA_42,TAXA_43,TAXA_44,TAXA_45,TAXA_46,TAXA_47,TAXA_48,TAXA_49,TAXA_50,TAXA_51,TAXA_52,TAXA_53,TAXA_54,TAXA_55,TAXA_56,TAXA_57,TAXA_58,TAXA_59,TAXA_60,TAXA_61,TAXA_62,TAXA_63,TAXA_64,TAXA_65,TAXA_66,TAXA_67,TAXA_68,TAXA_69,TAXA_70,TAXA_71,TAXA_72,TAXA_73,TAXA_74,TAXA_75,TAXA_76,TAXA_77,TAXA_78,TAXA_79,TAXA_80,TAXA_81,TAXA_82,TAXA_83,TAXA_84,TAXA_85,TAXA_86,TAXA_87,TAXA_88,TAXA_89,TAXA_90,TAXA_91,TAXA_92,TAXA_93,TAXA_94,TAXA_95,TAXA_96,TAXA_97,TAXA_98,TAXA_99,TAXA_100,TAXA_101,TAXA_102,TAXA_103,TAXA_104,TAXA_105,TAXA_106,TAXA_107,TAXA_108,TAXA_109,TAXA_110,TAXA_111,TAXA_112,TAXA_113,TAXA_114,TAXA_115,TAXA_116,TAXA_117,TAXA_118,TAXA_119,TAXA_120
SAMPLE_46,0,0,0,0,752,726,0,136,0,1445,0,0,0,11,0,524,2735,16,0,0,24,18,0,0,0,0,3342,1366,182,0,0,0,163,0,0,321,0,0,369,0,679,0,0,0,0,346,579,0,0,0,3267,1943,3129,473,0,0,265,0,733,0,0,132,0,0,0,1110,312,85,0,1557,181,372,0,89,0,969,0,0,0,0,133,0,1669,2695,37,0,0,2804,940,2054,0,0,5662,0,0,0,507,0,0,0,99,0,0,0,0,122,0,769,0,0,2990,1944,154,331,0,162,98,0,0,3721
SAMPLE_47,162,1699,0,0,246,0,0,27,0,243,0,125,0,419,0,677,40,0,0,0,274,0,863,265,1225,0,652,374,713,0,0,298,547,0,0,252,0,0,0,0,1346,0,0,1907,0,1199,0,239,0,1322,0,6120,1448,39,0,0,1169,0,0,211,0,424,0,25,0,1537,10,0,0,1712,694,0,1366,39,0,417,0,1130,0,995,339,0,0,2510,1672,208,51,2028,2146,0,668,1561,0,1369,0,0,293,0,0,0,98,0,223,153,1472,143,0,799,0,0,7800,0,0,761,0,0,179,147,0,1757
SAMPLE_48,0,0,0,0,798,128,0,0,1864,0,0,0,0,0,0,0,1158,0,0,128,0,0,0,22,0,0,1161,1845,0,17,0,2431,0,0,2266,416,0,0,0,0,2087,34,0,0,0,581,1146,0,1182,0,1603,4259,0,18,0,0,504,0,256,0,0,0,0,1057,0,586,113,717,0,0,0,0,0,16,157,387,0,0,276,3264,0,0,0,39,482,601,0,3640,0,0,2660,0,0,3543,0,384,0,0,0,0,17,0,775,0,3,0,0,0,0,55,0,0,1525,0,3010,10,261,71,0,296
SAMPLE_49,0,0,0,0,778,56,0,792,0,0,1254,0,0,469,0,169,2711,0,0,461,0,1961,0,0,0,0,996,726,0,844,2922,0,0,0,0,1417,1661,0,0,0,49,958,385,1391,0,0,3267,0,0,0,1876,5175,324,351,0,409,326,0,0,0,0,551,2601,0,994,0,246,0,0,0,356,341,1526,30,0,7454,0,48,0,0,2145,0,1125,0,0,383,576,3602,0,270,0,0,2456,0,0,1069,0,0,0,0,0,0,0,0,171,0,0,0,0,0,2555,0,1598,101,148,0,2001,0,0,1024
SAMPLE_50,1187,0,0,0,527,16,243,1,0,0,553,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,51,2020,0,0,3300,0,33,0,0,99,0,0,2843,0,30,0,0,459,932,0,0,0,0,0,2788,5540,1188,0,434,0,124,2454,77,0,0,80,351,0,0,79,480,44,0,3138,214,0,0,5,0,2612,0,1886,25,0,787,0,3,1444,0,460,1140,174,1605,0,0,0,3192,2034,2088,0,0,0,258,0,0,0,0,0,0,63,0,0,0,0,2789,0,404,7,0,0,46,0,0,487
SAMPLE_51,973,0,0,0,241,271,0,0,1345,0,760,0,0,874,0,1238,0,0,0,0,0,807,0,146,0,0,1813,776,0,514,0,0,0,0,0,0,0,0,0,0,0,0,29,1155,0,0,3405,0,0,0,2220,2717,3803,0,87,6,0,0,0,83,0,3552,55,0,0,1584,385,838,0,99,9,156,575,139,0,1416,0,0,0,3216,1061,0,0,0,0,580,177,5971,0,0,1822,139,2700,420,1250,21,0,0,0,0,0,56,0,0,0,0,0,0,0,875,2922,0,2056,223,0,63,0,0,0,0
SAMPLE_52,2309,0,0,0,0,1741,0,0,1345,289,907,0,0,1653,0,168,0,0,0,566,0,1508,0,0,0,0,0,3947,0,0,126,1452,6,0,0,272,0,0,949,0,0,0,0,819,0,1537,828,15,0,0,2959,555,0,38,0,340,0,0,0,0,0,444,0,0,394,1204,0,100,0,0,79,0,1569,52,0,0,0,0,0,180,0,0,0,0,0,0,127,550,0,0,1941,0,4108,0,0,0,3686,0,0,0,168,0,0,219,0,8,618,1682,0,0,655,0,0,0,0,0,737,0,0,1128
SAMPLE_53,323,0,0,0,493,0,45,0,0,1177,268,361,0,273,0,476,46,53,0,175,0,0,112,0,0,0,2233,1498,0,366,339,911,0,0,1100,0,1362,0,2302,0,2887,0,15,888,0,0,0,552,0,275,4111,2543,2311,181,0,5,1056,0,830,0,0,1100,1208,16,1535,1791,297,81,0,202,21,0,1619,57,0,820,0,0,358,0,0,0,60,877,717,0,222,3451,0,0,2198,0,2680,0,0,1711,0,0,0,0,0,0,0,0,0,56,0,378,0,0,3640,0,682,282,83,1202,532,0,0,1634
SAMPLE_54,3780,0,0,0,885,0,0,0,0,0,84,0,0,127,0,495,94,0,0,67,0,134,0,0,919,1119,1962,1831,0,17,699,0,60,0,2025,352,714,0,0,0,0,0,164,1131,0,0,0,0,994,0,920,2142,5117,0,0,0,0,0,303,1416,0,0,219,0,589,1445,90,0,0,0,589,1347,1938,0,0,3610,0,303,0,336,1059,0,2348,23,2051,0,0,5797,0,0,0,0,1859,0,341,1028,0,0,1094,0,178,0,461,0,0,0,0,1397,0,0,0,0,2085,0,65,0,563,0,50,1292
SAMPLE_55,240,0,0,0,1566,115,0,0,1689,3402,263,1096,845,48,0,1033,932,0,0,412,0,1829,615,0,0,0,673,2877,0,0,0,401,0,0,0,1657,0,0,0,0,1003,2445,0,1182,0,0,1068,287,1627,0,1552,1126,3767,1203,0,0,318,904,0,0,0,0,300,432,3733,1409,77,0,0,0,0,199,1132,27,0,408,0,5,159,517,190,0,65,0,0,5146,1143,2253,0,0,28,0,0,991,933,0,0,0,0,0,0,0,1134,0,0,0,0,103,0,1642,1460,0,1202,352,0,0,632,0,0,1052
SAMPLE_56,3325,333,0,0,0,0,548,507,1894,33,0,0,0,29,0,616,0,0,0,20,0,322,143,0,0,0,474,3096,0,0,0,0,0,139,0,41,0,0,0,0,1813,0,356,1177,173,0,2066,99,0,0,0,0,4678,207,0,0,0,0,0,0,0,780,0,85,231,0,168,25,0,1155,0,0,881,0,0,1718,0,0,0,412,2489,0,0,2256,0,0,774,1343,1127,25,0,0,0,1153,0,0,0,0,17,0,0,0,0,12,946,127,1059,0,0,0,0,2050,0,228,0,0,1337,80,3,1433
SAMPLE_57,0,0,0,0,72,0,0,2166,1110,1064,0,0,1059,57,0,110,36,0,20,341,0,265,536,0,0,0,0,123,36,229,1495,636,0,1573,0,0,0,0,1140,3,456,0,232,0,0,0,1644,520,0,49,1131,2323,0,0,0,174,0,0,1600,0,0,321,266,1314,2783,267,65,0,0,0,272,135,929,0,0,579,0,0,212,721,1814,0,0,0,0,0,0,54,0,0,17,40,0,6815,0,0,0,0,0,0,0,0,0,1172,81,4,968,1568,0,848,3493,1647,435,0,4095,0,739,1014,0,94
SAMPLE_58,0,0,0,0,787,0,0,605,26,937,958,579,0,82,0,207,0,4,0,57,0,1628,1516,16,0,0,936,1204,182,578,0,0,0,0,0,1176,0,0,0,0,34,1207,0,0,0,716,151,3,0,0,691,1877,2141,404,0,0,0,0,0,0,0,0,0,138,484,495,0,0,0,17,0,634,1713,30,0,85,0,15,579,1542,0,0,0,0,922,2787,363,2904,18,0,0,0,1541,0,921,0,3980,2364,556,0,281,0,45,0,6,0,0,767,0,1045,0,0,1285,678,0,0,408,0,0,0
SAMPLE_59,0,0,0,0,969,438,0,89,26,0,912,1073,419,145,0,0,0,0,0,0,0,114,0,0,0,0,2351,3132,0,476,948,0,0,0,0,1227,0,0,1727,0,1877,365,0,0,332,18,30,0,0,0,870,2230,0,208,0,5,165,2676,284,0,0,0,0,0,0,2509,0,0,0,2698,0,0,0,12,0,0,0,6,174,304,138,0,673,573,0,2954,0,7481,1887,0,0,0,1605,95,3258,0,2545,0,2210,0,1196,0,0,0,1044,0,0,0,0,477,0,0,655,229,0,1432,424,0,0,1353
SAMPLE_60,2595,0,0,0,101,36,0,1854,0,0,1776,0,0,1299,0,533,49,0,0,37,1192,0,439,0,0,0,817,0,161,520,0,0,0,0,0,1609,0,0,0,0,256,0,0,641,0,2420,532,282,0,0,767,1389,3208,0,0,305,2007,0,34,0,0,0,3,277,327,736,57,15,0,44,29,214,1121,0,0,224,0,0,664,0,0,0,35,2288,338,126,0,2746,2553,0,865,0,0,161,2913,1018,6260,0,644,0,570,173,0,0,0,0,0,0,0,0,2589,292,0,255,0,0,0,144,0,17
SAMPLE_61,2883,0,0,0,615,279,0,636,946,0,663,0,0,1154,0,420,2839,0,0,93,0,2588,50,0,0,0,742,1486,0,563,3481,2248,0,2566,0,0,3409,0,3405,0,353,0,0,0,0,0,3189,37,2609,0,0,3105,2266,1311,0,0,823,0,874,0,0,6,2371,0,628,1119,0,7,722,1504,292,3874,2232,32,0,0,0,1197,160,765,148,0,0,0,953,2976,509,2468,0,0,1704,0,0,481,2126,465,0,0,2879,0,0,777,1240,0,0,0,0,0,621,0,0,2422,3762,701,2523,704,0,1094,0,1473
SAMPLE_62,0,0,0,0,499,0,0,271,340,0,0,343,0,1206,0,685,0,0,0,81,94,1974,0,3,25,0,529,688,35,7,703,897,0,0,0,1420,1471,0,195,0,1815,0,641,0,0,27,1434,0,1561,35,2252,4773,2916,284,0,292,136,808,26,0,0,0,0,0,462,419,43,9,0,0,8,1296,1600,42,0,0,0,1663,0,0,0,2909,300,0,56,1907,0,1492,0,0,0,1,1282,0,0,0,692,0,3662,0,0,0,1275,0,0,63,0,0,0,455,1631,0,927,0,116,3148,725,0,0,0
SAMPLE_63,0,0,316,0,0,3239,0,0,0,0,0,0,2942,165,0,662,0,0,0,347,0,364,969,0,0,0,1659,0,30,1269,0,1512,107,0,2666,119,0,0,0,19,2802,2133,1645,580,0,0,1258,89,5297,0,7095,7904,0,8,0,0,0,0,0,0,4259,0,0,1997,334,1240,0,0,0,0,0,0,1191,0,2412,177,0,0,0,1820,0,0,0,0,0,3296,539,5373,0,0,0,0,10502,0,0,4,0,42,1470,0,0,0,3059,0,0,440,0,0,0,0,1649,3629,1845,0,0,369,458,2259,0,4217
SAMPLE_64,747,0,0,0,1013,722,0,2489,0,2472,1135,0,0,0,1,99,553,0,0,0,0,0,0,5,40,0,0,3967,1486,1941,1560,0,93,0,0,1159,855,0,0,0,208,0,24,0,49,0,861,8,172,0,1804,4822,1,537,0,2,230,0,115,0,0,0,0,702,0,436,38,565,0,0,4,0,0,467,0,0,0,1395,0,0,54,0,0,665,4,20,0,2798,0,1543,0,0,5584,145,369,1485,0,0,0,0,0,0,47,0,0,23,0,0,0,0,6739,131,135,0,133,56,0,0,0,297
SAMPLE_65,0,0,0,0,0,435,0,0,747,102,11,0,2396,17,0,1350,0,0,0,124,0,1797,0,0,37,287,799,1721,0,0,2957,107,504,0,0,2070,2032,0,3226,0,0,0,883,1188,625,0,2059,0,0,238,808,2233,2311,0,3625,0,0,3228,413,560,0,0,71,80,837,532,0,0,55,3037,505,34,2548,0,0,6,0,0,283,0,246,1136,0,2750,159,0,1266,2556,0,0,3030,2829,1675,735,0,0,0,0,1789,0,0,0,985,0,0,133,0,0,0,0,0,377,242,385,0,1853,0,0,0,958
SAMPLE_66,1232,0,0,0,657,1123,0,0,0,1016,8,0,314,408,0,480,78,0,0,0,0,2127,0,0,0,0,329,1601,639,16,3869,2396,0,0,52,81,2011,0,0,0,0,1432,0,0,0,532,0,3,2703,0,1629,2837,1101,394,0,0,612,0,293,0,0,0,2137,1093,0,461,0,0,0,0,383,494,2002,158,93,0,0,0,100,0,0,0,97,0,531,0,931,1008,0,0,0,0,1801,1295,36,0,0,33,0,0,0,0,2015,1447,22,0,0,0,0,0,5072,678,2069,0,1142,0,0,1044,0,1711
SAMPLE_67,0,0,0,0,310,149,0,0,0,0,409,0,0,11,0,982,0,80,0,166,0,0,343,0,1214,90,1634,178,0,19,0,1447,185,0,0,25,0,0,632,0,2541,0,0,0,0,0,0,0,0,0,4949,2429,1349,53,0,240,532,0,0,2763,0,22,0,223,1231,546,14,0,0,2796,70,2348,0,49,0,129,0,0,599,616,0,0,1459,2178,1454,0,232,0,2652,0,0,0,8518,0,1481,0,0,0,86,44,0,0,720,0,0,155,0,986,0,2820,2905,0,1664,308,0,14,9,0,80,5086
SAMPLE_68,5418,0,840,0,834,512,0,810,0,1126,225,0,0,137,0,1303,33,0,0,15,0,287,0,0,0,0,130,0,32,0,0,0,79,0,0,84,0,0,3796,0,0,0,53,1103,0,10,3586,4,0,125,1418,3810,5955,0,1693,242,0,1349,0,0,0,0,727,124,90,390,258,0,0,0,299,0,205,0,0,838,0,0,33,863,53,0,48,2754,653,1708,0,397,0,0,233,332,0,1310,860,0,0,0,1742,0,54,0,0,300,46,144,1389,0,0,1729,0,0,0,13,0,1978,54,356,0,3007
SAMPLE_69,0,0,0,0,535,1132,0,2524,0,100,0,0,105,75,0,80,0,0,0,33,24,0,445,364,0,0,337,754,0,78,82,0,0,0,272,261,0,0,2828,0,1533,0,0,0,0,0,1195,135,0,0,4380,2930,2444,150,0,0,407,0,1847,0,0,43,229,287,225,115,44,11,0,97,8,1035,696,260,0,0,0,16,0,0,52,0,3106,0,14,0,0,829,0,0,0,0,6028,0,0,25,2541,0,0,0,637,0,0,0,0,0,0,340,1607,0,0,742,0,217,0,49,254,0,70,0
SAMPLE_70,0,0,0,0,285,0,0,43,0,0,43,0,0,778,0,750,969,0,0,0,1501,876,0,0,0,0,806,1124,0,31,50,3316,391,0,0,2528,0,0,0,6,0,0,157,0,81,979,213,19,0,0,4558,3981,0,355,0,0,652,1217,0,0,0,0,0,651,0,509,5,182,0,0,63,1375,1582,578,0,0,0,0,0,0,0,0,0,0,26,0,230,2848,0,1469,0,0,0,0,124,2216,3503,0,918,0,0,0,0,0,30,537,0,0,0,0,0,0,0,96,1462,2341,832,0,0,0
SAMPLE_71,0,0,0,0,79,1870,424,2297,0,96,560,0,0,84,0,507,37,0,0,0,130,381,0,0,0,0,613,299,34,0,0,0,0,0,0,69,0,0,0,0,0,0,143,0,0,1038,0,4,1276,0,5170,1848,1226,598,0,18,1990,0,0,599,0,0,0,0,0,295,6,0,1716,0,0,563,2326,77,33,0,0,27,0,96,392,0,36,2082,0,0,88,1859,0,0,0,0,6716,2107,954,151,0,0,600,0,0,0,996,466,54,0,0,706,0,1137,0,0,0,78,0,361,23,1047,0,0
SAMPLE_72,3230,0,0,115,1049,262,125,0,0,27,0,395,104,0,0,466,0,14,0,49,0,1149,398,0,808,0,761,73,777,0,5723,332,602,2241,0,1562,3602,0,0,0,634,0,669,1024,0,0,497,67,3001,0,492,0,0,594,0,0,107,0,389,0,0,476,0,0,391,0,0,15,0,2668,0,0,1432,8,0,43,0,0,38,0,50,0,0,1018,211,1684,280,1783,551,0,0,0,1243,409,0,0,814,0,431,9,551,0,125,0,0,63,0,0,0,0,0,1283,242,254,0,0,0,0,0,2758
SAMPLE_73,0,0,0,0,1339,375,172,0,344,1652,472,0,0,714,0,0,218,0,0,341,0,3264,0,0,0,0,876,2260,0,162,891,1927,0,0,0,438,357,0,0,0,0,0,0,0,0,703,1466,0,203,0,4669,4341,1790,269,0,9,0,0,186,787,0,0,0,0,1115,522,0,1,0,0,4,1338,4284,208,0,23,0,0,49,503,0,0,0,0,1899,1219,751,2839,847,0,507,0,7484,3470,307,267,1956,0,195,0,0,238,0,0,197,0,0,0,0,450,8573,66,0,100,0,35,1024,0,0,1159
SAMPLE_74,332,0,0,0,680,478,0,2180,2882,1321,1492,0,1983,1161,0,1071,28,0,0,555,0,1206,591,0,0,494,124,1257,38,971,0,0,411,0,0,25,0,0,0,0,0,0,0,1507,0,0,0,42,70,190,3143,1672,517,0,0,301,0,1973,353,0,0,0,791,960,320,0,89,25,0,0,4,0,812,62,0,756,0,0,41,0,367,0,0,2050,121,0,0,415,0,0,2888,670,0,1494,92,150,0,0,0,0,0,0,54,0,367,492,20,1402,0,0,3668,0,16,237,0,489,0,0,0,2736
SAMPLE_75,0,0,0,0,1456,192,0,0,0,0,19,2680,1023,982,0,14,17,0,0,0,0,1058,0,25,0,0,1321,2313,418,395,0,381,0,0,0,243,0,488,2598,0,0,0,50,0,340,265,0,0,1726,0,7671,3060,159,334,0,10,993,0,103,0,44,0,0,14,0,278,6,0,0,1151,0,274,0,30,51,198,0,0,0,0,0,0,0,0,0,213,248,1568,374,799,0,0,12263,0,43,13,1869,0,932,0,0,0,1463,0,0,0,0,0,0,0,990,0,209,0,0,0,101,26,0,0
SAMPLE_76,0,0,0,0,0,452,0,2791,0,888,1049,0,0,3783,0,0,0,750,0,0,0,0,0,935,79,0,517,443,0,99,5892,0,0,0,0,2727,3435,0,1096,0,2131,1541,1278,0,0,716,63,0,0,0,688,758,0,815,0,314,0,1462,525,673,0,0,0,0,0,655,5,1061,1414,0,22,277,394,181,0,2011,0,0,335,230,0,0,629,0,31,1099,0,1442,4510,0,0,0,0,0,109,1137,554,0,0,825,0,0,0,83,1,365,0,934,0,0,1326,181,2712,0,0,632,1195,268,0,2344
SAMPLE_77,3951,0,0,0,518,783,0,324,0,840,620,55,0,0,0,0,0,0,50,404,0,73,1072,0,0,0,0,290,0,0,0,0,0,0,0,2123,0,0,0,0,0,299,102,307,1150,1206,309,108,0,0,1446,3305,4198,335,0,4,0,2344,0,0,0,0,0,359,174,0,102,0,0,4176,0,154,727,103,0,327,0,0,189,0,1373,0,0,1453,0,16,0,3745,3312,0,42,0,0,1865,0,0,2231,0,215,0,0,0,0,0,872,0,0,341,0,0,6562,854,105,0,0,524,748,0,0,0
SAMPLE_78,0,0,0,0,0,282,0,937,966,0,68,0,0,2074,0,579,0,0,0,0,0,0,578,0,0,0,966,2524,722,2097,4209,0,0,0,39,813,1431,0,1253,341,173,0,0,386,0,1600,1567,50,0,0,4749,2373,1071,0,0,166,0,230,252,2150,0,1189,0,7,0,912,113,187,79,48,14,617,2705,116,0,0,0,838,1290,794,0,0,2435,0,988,0,0,3070,2063,0,0,0,6915,394,0,0,4680,0,19,0,155,0,0,0,371,0,28,713,0,26,2187,1600,27,319,0,152,0,29,0,1924
SAMPLE_79,874,0,15,0,917,3965,4,0,0,0,0,398,0,24,138,940,0,0,0,0,0,495,117,1036,0,5,1047,2318,0,0,0,0,218,0,0,223,0,0,0,0,0,0,0,1823,0,22,0,0,129,0,2386,3051,4136,0,0,368,0,0,148,0,0,888,0,434,0,715,0,0,0,0,5,0,0,409,0,29,0,0,0,0,0,0,0,95,1657,0,1492,2814,1188,0,0,0,1330,68,0,0,194,0,3,0,0,0,0,0,0,415,0,840,0,0,6471,0,0,800,109,0,88,0,0,1056
SAMPLE_80,0,0,11,0,1069,50,805,756,0,0,26,0,0,964,0,179,0,0,0,308,169,901,14,0,0,0,2109,0,0,117,0,0,0,0,0,1142,0,0,0,0,0,0,0,2346,0,0,2277,0,3730,0,2961,3460,0,23,0,0,0,0,0,0,0,417,0,24,232,0,192,0,0,43,49,161,883,19,0,4161,0,0,0,969,1120,0,0,514,632,566,1360,0,3168,0,0,0,3058,193,0,1615,0,0,0,0,383,0,1,114,0,18,34,414,0,0,7328,0,339,208,0,0,0,170,0,0
SAMPLE_81,0,216,0,0,231,772,0,2920,0,308,34,0,1215,0,0,1197,79,0,0,0,0,276,173,968,1163,0,0,808,523,63,2,0,12,0,0,0,0,0,3478,282,0,0,1260,46,0,0,622,45,0,0,3856,4763,93,0,0,3,0,0,372,1056,0,0,0,0,0,302,0,0,0,0,0,0,663,447,1598,29,0,0,0,763,308,0,0,2565,0,0,42,664,0,0,1950,0,2547,0,48,19,0,35,0,0,0,288,1200,47,0,122,0,0,0,0,3328,1348,0,0,0,0,0,789,42,2395
SAMPLE_82,550,0,0,0,1223,1762,86,419,437,0,0,0,1102,368,0,227,0,99,0,62,0,435,0,0,0,0,417,798,0,1288,0,897,0,0,0,15,0,0,0,0,0,0,0,53,0,0,866,652,128,735,645,2009,2091,0,0,2,567,0,836,162,0,0,1955,0,642,0,12,0,0,0,34,1151,353,151,0,0,0,0,0,0,106,0,0,363,69,0,89,1141,0,3,1293,2359,1708,1326,0,55,0,0,0,0,0,0,54,10,0,12,0,442,0,126,2634,148,653,52,91,0,0,18,0,280
SAMPLE_83,1837,0,0,0,32,788,391,1371,0,1412,1143,0,1952,0,345,530,0,0,0,71,0,0,872,0,0,0,358,0,0,366,1141,167,710,0,0,1716,579,0,0,0,0,0,202,0,0,0,649,0,0,0,0,7001,0,156,0,0,2243,842,704,479,0,0,0,888,372,0,13,0,0,0,0,2661,973,95,0,347,0,0,246,157,782,0,0,1831,672,0,0,1140,168,0,0,0,1273,0,359,2,3349,0,2262,0,748,0,0,0,0,91,0,0,0,781,7957,1703,1599,472,0,2488,620,0,0,3942
SAMPLE_84,0,0,0,0,1198,0,0,307,709,0,1467,1808,125,1625,0,357,0,0,0,414,0,3621,0,0,0,0,65,1062,0,59,0,0,0,0,0,454,0,0,0,0,0,0,0,114,0,1053,1257,0,3523,0,1275,434,603,1,0,0,862,270,0,0,0,0,2967,18,3362,0,0,306,0,0,30,452,2943,0,0,478,0,0,8,1686,578,1384,0,0,978,3113,1024,238,1169,2680,1168,0,0,126,350,0,4773,0,368,0,630,534,0,0,30,0,0,0,0,0,236,0,0,7,0,0,220,0,0,0
SAMPLE_85,0,0,0,0,614,1589,0,73,0,0,829,0,1297,0,0,169,0,0,0,0,0,1,304,0,0,0,0,379,0,0,137,0,0,0,0,243,343,0,0,0,87,29,13,0,238,0,0,0,0,0,0,6087,1152,91,0,0,41,115,198,0,0,0,0,575,0,321,0,20,0,367,13,116,489,91,0,0,0,0,87,271,0,0,0,0,21,0,88,1392,0,41,0,0,0,0,289,0,3093,0,590,0,844,0,44,0,0,0,0,662,0,0,3826,0,1068,0,101,1409,132,0,659,1444
SAMPLE_86,184,0,0,0,634,229,0,70,481,76,1291,2439,709,8,0,73,0,14,0,0,9,95,0,0,0,0,0,0,0,0,0,0,114,57,0,341,3,0,2052,0,11,238,0,0,0,0,370,0,0,0,1220,3430,716,617,0,0,0,0,0,0,0,0,0,0,0,913,14,0,0,516,0,550,554,13,0,1963,0,0,453,328,563,0,0,0,228,0,5,2266,0,517,0,0,2263,1338,854,0,2017,0,3027,0,0,0,0,613,0,0,0,0,0,1763,0,0,0,0,0,746,125,1100,80,2048
SAMPLE_87,0,0,0,0,0,1014,12,0,0,0,11,1660,314,0,0,340,0,0,0,0,0,140,26,0,0,0,961,1144,0,709,1961,1081,0,0,0,1580,1578,0,0,0,1945,2156,0,0,0,755,0,712,2484,0,3614,4431,874,405,0,0,362,0,0,307,0,0,0,0,0,1391,0,0,0,462,0,609,3014,49,0,2786,0,0,297,103,931,0,18,0,1349,0,575,3229,11,0,0,0,0,0,34,0,2194,308,2249,0,0,0,1953,845,0,4,15,373,0,0,5101,0,1564,618,0,2979,1601,620,0,3761
SAMPLE_88,15,0,0,0,97,2432,743,0,0,244,497,0,592,543,345,844,0,0,0,41,764,559,0,968,47,0,0,374,0,354,0,0,0,0,0,1723,283,0,327,481,0,1852,0,0,0,900,0,0,0,0,2499,5077,2293,0,0,437,0,1071,15,802,0,0,254,25,349,858,8,0,0,0,27,5929,1354,4,0,1886,0,13,0,243,423,0,77,725,830,35,944,4338,0,257,161,0,3433,0,0,0,3010,0,735,0,0,56,0,0,0,74,0,0,0,0,5436,0,774,0,0,454,547,0,0,0
SAMPLE_89,358,0,0,0,621,1509,0,20,0,318,11,0,0,80,0,1186,267,0,0,0,0,693,164,0,0,0,928,783,0,0,2051,2848,336,0,0,0,2881,0,0,0,0,4,104,0,0,0,118,0,204,0,3466,2454,3035,887,0,0,876,1080,982,2015,0,171,89,188,0,648,0,0,0,0,0,818,2281,369,0,68,0,0,165,0,712,0,0,0,0,269,151,3081,0,322,0,0,1509,354,44,1642,0,0,1356,6,0,0,136,0,16,0,0,97,0,0,3392,365,3992,162,0,3705,21,0,0,2676
SAMPLE_90,0,0,0,0,678,1082,535,0,2550,0,17,0,2294,0,0,181,79,0,0,71,0,0,94,0,1219,0,0,1,0,471,0,677,0,0,0,1114,0,0,323,0,0,0,28,0,0,1978,1644,0,255,0,1010,1060,0,15,4089,0,0,2034,81,0,12,0,0,172,199,145,68,0,0,0,829,1747,684,6,0,284,0,0,72,427,76,0,0,0,1067,0,689,836,0,0,1524,0,0,0,0,0,4922,0,389,0,133,0,210,0,0,93,79,0,0,0,543,178,0,0,0,2692,0,0,0,0
SAMPLE_91,0,0,0,0,1108,0,100,1106,0,0,139,66,0,1346,0,516,0,0,0,502,44,2822,85,945,72,29,0,0,0,0,0,486,0,0,54,0,0,0,0,0,624,4280,0,0,1814,0,42,39,1255,0,2923,5094,3793,0,0,0,0,0,0,0,0,77,0,0,1087,849,227,0,0,3334,104,886,4087,0,0,912,0,0,246,0,160,0,72,0,5,0,861,5413,1122,0,0,0,5031,0,357,1109,0,0,0,0,0,0,9,0,328,4,23,0,0,0,3709,0,0,0,2126,0,0,0,0,0
SAMPLE_92,0,0,0,0,70,1879,8,2144,0,1453,0,0,0,0,0,107,48,0,0,0,0,0,0,0,0,0,1914,288,0,787,1002,696,0,11,2990,384,1006,0,0,0,1148,0,143,46,0,33,321,4,4385,29,623,1594,0,409,1352,0,279,0,191,1660,0,3711,0,167,0,457,0,540,0,0,672,0,690,179,0,95,0,0,165,273,0,0,0,0,48,0,237,956,2540,36,1829,10,948,1207,0,0,1863,0,0,0,0,0,504,410,67,10,0,0,0,0,0,1068,408,231,95,0,114,0,438,1181
SAMPLE_93,0,0,0,0,892,1705,672,355,0,0,16,463,357,0,0,552,0,0,0,0,0,887,0,0,2745,0,0,1482,30,1440,0,0,0,0,0,337,0,0,217,0,25,0,0,0,0,0,1833,0,0,0,3603,4399,0,189,3517,11,501,0,227,0,0,0,0,0,0,1252,131,582,0,55,467,525,2309,308,0,4182,0,16,255,0,1642,0,636,1798,738,0,211,324,26,30,0,0,5147,0,0,27,324,0,3218,0,0,0,0,0,121,0,0,627,0,0,4013,0,0,0,223,1268,121,0,0,1308
SAMPLE_94,2653,0,0,800,1530,0,0,2904,1711,791,0,2562,659,19,0,0,713,0,0,0,0,129,1204,0,0,0,1212,468,15,0,5541,0,56,0,0,1444,3335,0,0,0,428,0,18,356,0,1079,1731,0,159,0,1767,1472,0,1465,0,17,0,425,317,0,0,0,0,1084,0,199,0,4,0,1905,173,1240,108,10,0,0,0,0,110,0,0,0,118,2225,151,2263,18,289,969,0,1068,0,3012,815,0,0,0,0,0,0,0,0,0,0,354,113,0,54,0,34,525,18,561,601,3030,0,556,0,0,202
