,TAXA_1,TAXA_2,TAXA_3,TAXA_4,TAXA_5,TAXA_6,TAXA_7,TAXA_8,TAXA_9,TAXA_10,TAXA_11,TAXA_12,TAXA_13,TAXA_14,TAXA_15,TAXA_16,TAXA_17,TAXA_18,TAXA_19,TAXA_20,TAXA_21,TAXA_22,TAXA_23,TAXA_24,TAXA_25,TAXA_26,TAXA_27,TAXA_28,TAXA_29,TAXA_30,TAXA_31,TAXA_32,TAXA_33,TAXA_34,TAXA_35,TAXA_36,TAXA_37,TAXA_38,TAXA_39,TAXA_40,TAXA_41,TAXA_42,TAXA_43,TAXA_44,TAXA_45,TAXA_46,TAXA_47,TAXA_48,TAXA_49,TAXA_50,TAXA_51,TAXA_52,TAXA_53,TAXA_54,TAXA_55,TAXA_56,TAXA_57,TAXA_58,TAXA_59,TAXA_60,TAXA_61,TAXA_62,TAXA_63,TAXA_64,TAXA_65,TAXA_66,TAXA_67,TAXA_68,TAXA_69,TAXA_70,TAXA_71,TAXA_72,TAXA_73,TAXA_74,TAXA_75,TAXA_76,TAXA_77,TAXA_78,TAXA_79,TAXA_80,TAXA_81,TAXA_82,TAXA_83,TAXA_84,TAXA_85,TAXA_86,TAXA_87,TAXA_88,TAXA_89,TAXA_90,TAXA_91,TAXA_92,TAXA_93,TAXA_94,TAXA_95,TAXA_96,TAXA_97,TAXA_98,TAXA_99,TAXA_100,TAXA_101,TAXA_102,TAXA_103,TAXA_104,TAXA_105,TAXA_106,TAXA_107,TAXA_108,TAXA_109,TAXA_110,TAXA_111,TAXA_112,TAXA_113,TAXA_114,TAXA_115,TAXA_116
SAMPLE_48,0,38,521,968,148,428,0,126,1080,0,6022,1238,492,0,34,10,22,0,0,0,2428,1691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3184,187,0,0,40,69,0,1619,856,509,8,0,614,0,4886,0,771,0,1481,0,0,0,13,8,19,0,0,0,0,0,912,385,0,4064,0,5238,704,1191,3384,0,3298,1364,301,195,2044,1107,4104,1222,0,0,529,3523,0,395,147,302,1527,2558,554,0,534,1383,2812,1718,944,39,0
SAMPLE_49,488,38,94,60,34,20,0,35,0,41,246,0,0,2,4054,1533,2332,420,3540,0,0,0,0,26,208,96,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16150,4031,0,0,743,393,273,371,29,24,63,157,0,0,5695,0,3279,1107,493,2,20,0,9,0,0,0,0,211,406,0,2824,0,2722,9,0,51,0,79,53,0,87,742,185,1564,516,0,0,190,1929,23,193,117,426,940,3190,397,0,61,6,88,34,18,1681,891
SAMPLE_50,0,47,504,1008,132,407,0,150,1047,0,5798,1151,465,0,346,126,198,0,0,0,3376,2599,263,1314,0,2879,0,353,2967,7052,7728,557,0,1139,0,269,0,0,0,0,0,0,0,0,0,0,0,0,1391,0,0,0,0,146,183,596,32,0,4,18,0,646,0,5129,0,941,878,7,1167,2665,509,5,8,16,0,0,0,0,0,907,411,0,4301,0,5204,728,1120,3445,0,3328,1380,270,197,2020,1178,3785,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_51,0,37,400,884,133,366,5,0,0,0,0,0,0,0,2108,754,1287,854,3274,0,611,1355,0,0,0,0,0,0,0,3656,2543,0,0,0,0,0,0,0,0,0,0,0,0,0,2267,1037,1688,0,0,1,0,0,0,0,46,0,1279,630,372,38,0,46,0,0,0,0,0,0,685,2014,415,4,5,11,0,0,0,0,0,757,320,0,3197,0,4038,592,924,2787,0,2599,1081,453,26,250,581,249,0,0,0,413,2759,0,0,0,0,0,0,0,0,0,1128,1992,1351,675,23,0
SAMPLE_52,0,0,0,0,0,0,0,0,985,0,5519,1102,464,0,376,142,260,1859,4537,0,1552,2634,265,1284,0,3054,0,348,78,0,0,460,0,1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1319,3170,166,0,0,43,37,0,1558,871,527,16,0,606,0,4940,0,928,878,0,1160,2475,544,8,8,21,0,0,0,0,0,915,372,0,4030,0,5344,733,1174,3518,0,3261,1314,534,35,346,725,152,0,0,0,559,3440,0,392,93,0,783,2214,0,0,78,52,430,239,356,43,0
SAMPLE_53,338,43,83,74,23,20,0,6,590,0,4932,3751,233,0,3964,1429,2309,644,3947,0,0,0,0,21,254,126,0,2,720,1861,0,0,184,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,0,0,715,444,260,428,36,33,76,169,0,0,0,41,1798,1573,621,0,33,4,29,0,0,0,0,221,444,0,0,1010,0,657,0,981,0,70,0,0,68,872,198,1677,555,0,0,320,2163,0,386,88,0,0,0,0,0,0,15,0,7,0,1469,0
SAMPLE_54,0,0,294,788,85,302,0,107,39,0,0,0,0,0,0,0,0,0,0,0,0,647,0,724,0,2260,0,257,2489,5773,6171,421,0,954,0,231,66,0,126,211,256,23,740,24,0,0,0,0,1100,0,0,0,0,0,149,426,94,0,8,39,0,53,0,0,60,0,0,1183,0,0,0,4,0,13,0,0,0,0,0,732,298,0,3340,0,4222,601,909,2823,0,2707,1111,229,172,1599,860,3382,947,0,0,0,0,84,0,42,202,892,2048,241,0,80,20,302,184,274,24,0
SAMPLE_55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3034,0,0,0,0,17,250,129,0,0,0,0,0,0,0,81,185,35,51,0,82,304,0,0,0,0,0,0,0,0,309,848,0,2133,0,499,0,0,799,456,251,366,34,26,85,177,0,0,6387,0,3697,1151,533,3,33,10,0,0,0,21,3,36,0,2,3602,0,2980,6,0,53,0,98,132,123,0,0,0,0,484,0,0,301,2115,0,303,0,359,710,3430,342,0,44,4,0,5,0,1507,0
SAMPLE_56,0,48,420,892,0,376,0,92,950,0,5135,1044,416,0,98,22,54,1732,3951,0,1315,2174,215,1131,0,2764,0,308,65,0,0,0,0,0,0,0,0,0,0,239,166,19,577,15,2361,737,188,145,1098,2712,148,0,0,44,35,0,0,0,0,0,11,501,10,4379,0,823,762,0,996,2186,420,7,3,10,0,0,0,0,721,0,0,0,0,0,0,0,0,0,0,0,0,0,30,251,588,127,0,0,0,449,3005,0,348,129,220,1303,2258,314,0,100,39,406,225,314,30,0
SAMPLE_57,0,40,0,36,0,25,0,8,505,0,4169,3177,218,1,3250,1152,1900,554,3294,0,0,0,0,22,206,102,0,4,1194,3316,3056,0,140,0,273,0,0,0,0,221,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,604,362,224,346,29,27,70,134,0,0,0,35,1453,1259,475,2,33,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598,169,1458,480,0,0,240,1748,0,313,80,0,319,2424,197,0,39,10,47,0,7,1211,0
SAMPLE_58,0,0,0,790,0,322,0,87,889,0,5208,1003,445,0,239,101,145,0,0,0,2821,2285,229,0,0,1449,1269,0,0,0,208,437,0,925,0,0,80,0,123,247,300,32,853,39,2547,807,179,165,1116,2860,171,0,0,40,56,0,1442,768,467,14,0,542,0,4561,0,844,808,2,1012,2337,521,5,0,0,0,0,0,0,811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,974,2974,1071,0,0,478,3208,0,407,79,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_59,0,0,371,945,115,382,0,99,1163,0,6058,1255,517,0,0,0,0,1979,4727,0,0,0,0,0,0,1501,0,0,0,2389,0,576,0,1201,0,321,72,0,136,282,324,32,884,35,2851,828,223,154,1298,636,0,0,0,48,75,0,1444,572,265,20,0,643,0,4857,0,874,912,0,1055,2513,517,6,3,15,0,0,0,0,0,791,0,0,4632,0,5179,692,1187,3466,0,3207,1278,564,0,0,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_60,604,42,113,85,28,32,0,10,0,0,0,3171,0,0,4878,1860,2947,0,0,0,0,0,0,0,0,0,0,0,1680,4386,4152,0,192,0,433,0,0,0,0,282,0,0,0,0,0,0,0,0,371,0,0,0,19392,4833,0,0,843,489,303,444,29,16,102,0,0,0,7058,0,4063,1293,595,0,37,0,0,0,0,0,0,241,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,2283,0,0,0,437,654,3874,361,0,65,15,102,27,17,2002,1048
SAMPLE_61,487,41,83,68,27,13,0,33,0,94,0,0,0,0,0,0,0,2014,4289,0,0,0,0,24,236,104,0,0,25,0,20,0,150,0,308,0,0,0,0,243,0,0,0,0,0,0,0,0,283,0,0,0,0,0,0,0,0,0,88,385,30,32,79,130,0,0,5720,0,3338,981,532,2,22,4,17,0,0,0,0,199,392,0,0,922,0,640,0,833,0,76,52,0,66,735,186,1588,554,0,0,256,1869,0,0,0,0,0,2395,0,0,6,15,53,14,9,1615,855
SAMPLE_62,0,54,431,931,0,444,0,117,567,0,3375,0,282,0,990,372,586,0,0,146,2743,0,158,0,0,2162,0,318,2785,6428,6906,534,0,1102,0,263,34,58,54,0,709,31,718,33,2715,1183,2035,0,0,0,0,0,0,0,50,0,1496,831,474,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769,0,0,0,4308,0,4842,172,0,1696,546,2643,1231,522,0,0,0,0,1032,0,0,487,3205,0,408,133,259,1492,2397,501,0,455,1261,2555,1541,890,25,0
SAMPLE_63,515,42,123,73,26,28,0,39,0,109,0,0,0,0,0,0,0,0,2943,0,0,0,0,0,249,0,0,0,1488,3898,3662,0,0,188,0,97,51,0,70,255,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,429,0,0,47,0,0,0,0,41,1716,1529,629,2,31,4,14,0,0,0,0,229,428,0,3038,0,2947,12,0,63,0,103,57,0,80,682,0,1490,603,0,0,0,1962,37,239,131,386,960,3489,416,0,70,5,87,29,22,1772,983
SAMPLE_64,0,0,0,0,0,0,0,0,0,0,4724,950,457,0,184,66,118,1734,4228,0,0,0,0,0,0,0,1549,26,2209,7313,7119,537,0,1095,0,264,82,0,139,263,284,12,677,0,0,0,0,0,0,0,0,0,0,39,61,0,1584,838,478,16,0,588,0,4554,0,671,0,1314,0,0,0,5,9,16,0,0,0,0,0,818,340,0,3909,0,4824,687,1079,3241,0,3017,1261,521,30,289,670,673,0,0,0,471,3319,0,396,111,275,1341,2398,373,0,215,1101,1155,0,0,0,0
SAMPLE_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,4277,0,0,0,0,19,228,110,0,4,1286,3693,3210,0,176,0,335,16,59,0,81,227,0,0,0,0,0,0,0,0,263,776,0,1921,0,409,0,0,570,0,121,363,39,29,67,122,0,0,5630,0,3309,1078,506,4,30,4,24,0,0,0,0,191,390,0,2771,0,2665,4,0,34,0,96,61,0,71,716,162,1606,540,45,17,0,1692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_66,0,0,0,705,0,318,0,89,0,0,4177,826,338,0,461,159,244,1501,3905,0,1282,2186,217,893,0,1659,1045,0,0,0,0,477,0,1035,0,229,0,0,0,226,144,21,611,27,2481,1130,1771,0,0,2725,188,0,0,31,41,0,1422,783,416,13,0,502,0,4226,0,648,0,1222,0,0,0,7,4,22,0,0,0,0,0,632,0,1329,0,0,1454,114,563,0,0,2836,1164,449,21,230,564,123,0,0,0,467,3094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_67,0,0,0,0,0,0,0,0,1037,0,6281,1241,532,0,188,63,106,1922,4856,0,0,829,0,0,0,0,0,0,0,0,0,0,0,1241,0,302,84,0,123,314,395,25,948,43,2923,852,238,170,1294,3369,193,0,0,38,58,0,1772,904,569,34,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011,381,0,4360,0,5705,731,1046,3361,0,3077,821,0,26,361,766,530,0,0,0,558,3850,0,453,165,307,1507,2759,320,0,0,94,462,270,356,45,0
SAMPLE_68,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1593,0,105,0,209,0,76,41,0,92,280,0,0,0,0,0,0,0,0,312,0,0,0,17783,4612,0,0,822,422,258,384,44,35,86,168,0,0,6607,0,3793,1246,558,6,0,9,0,0,0,0,0,219,483,0,3123,0,2979,0,0,2,0,0,124,12,78,841,219,1792,576,0,0,223,2221,22,222,104,458,894,3676,0,0,9,18,66,22,13,1945,934
SAMPLE_69,0,43,459,1098,0,459,0,146,262,0,1413,0,0,0,0,0,0,2037,4722,0,734,1647,0,1118,0,2981,0,374,0,3544,3207,549,0,1262,0,287,84,0,133,296,350,45,851,43,2768,835,240,154,1374,0,0,0,0,160,190,626,2,0,0,0,12,627,12,5141,0,802,0,1412,0,23,0,0,0,0,0,0,0,0,0,898,374,0,4236,0,5452,741,1167,3495,0,3285,1352,602,0,0,705,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_70,0,40,402,819,108,330,0,105,885,0,4847,977,426,0,55,23,32,1595,3771,0,1273,2086,225,958,0,2395,0,312,60,0,241,406,0,947,0,194,68,0,103,234,209,0,0,0,0,0,0,0,1050,2459,141,0,0,39,37,0,1372,679,390,13,0,482,0,3996,0,871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,274,550,102,0,0,0,432,2798,0,328,133,246,1174,2152,290,0,97,16,326,217,280,24,0
SAMPLE_71,0,0,0,0,0,0,0,0,610,0,4868,3655,205,0,3639,1384,2229,663,3841,0,0,0,0,33,277,102,0,0,1392,3957,3632,0,170,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713,399,269,403,37,48,78,174,0,0,5417,0,2779,0,0,0,31,2,17,0,0,0,0,212,393,0,2978,6,2829,9,0,55,0,106,43,0,68,806,190,1683,567,0,0,296,1899,0,419,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_72,628,0,0,0,0,0,0,0,622,0,5188,3962,220,0,3990,1530,2402,711,4112,0,0,0,0,25,281,116,0,9,0,2372,1546,0,174,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17974,4600,0,0,778,434,264,400,39,37,93,178,0,0,6644,0,3819,1217,556,0,27,0,31,3,77,80,32,0,0,341,0,922,0,743,0,954,0,96,58,0,0,677,0,1532,664,0,0,0,1978,51,207,108,445,1896,3652,445,0,68,8,120,25,20,0,1015
SAMPLE_73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2429,0,345,2946,7192,7451,550,0,1137,0,327,94,0,113,280,336,34,910,42,2812,826,234,176,1315,0,0,0,0,42,64,0,1648,860,480,12,0,585,0,5132,0,1081,0,17,0,2534,511,4,5,17,0,0,0,0,0,944,383,1313,0,0,1769,740,2535,3543,0,3348,1321,309,191,2033,1149,4428,1223,0,0,513,3553,0,0,16,0,0,0,0,0,0,0,0,0,0,30,0
SAMPLE_74,509,39,95,55,19,29,0,4,564,0,4501,3497,202,0,3355,836,0,0,0,0,181,469,71,135,202,110,0,0,20,0,9,0,163,0,311,0,36,0,91,246,0,0,0,0,0,0,0,0,279,0,0,0,15383,3858,0,0,454,0,0,0,0,0,0,0,0,0,5801,0,3331,1045,537,1,29,2,0,0,0,0,0,0,0,0,0,935,0,852,151,1689,0,100,136,116,0,0,0,0,0,0,0,202,1863,27,195,107,373,894,3267,403,0,48,4,53,0,0,1666,842
SAMPLE_75,636,49,104,76,29,25,0,7,631,0,5255,4172,232,0,4168,1561,2480,736,4383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,296,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,0,0,18665,4496,0,0,805,477,256,440,30,25,94,178,0,0,6102,0,3036,0,0,4,25,3,30,0,0,0,0,216,478,0,3140,3,3128,0,0,0,0,0,0,81,0,125,0,310,0,0,0,239,2187,21,215,127,450,1066,3666,475,0,69,9,80,17,0,1930,1037
SAMPLE_76,0,0,384,964,118,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,740,0,2702,0,349,63,0,278,594,0,1156,0,294,77,0,123,315,363,42,898,49,2766,846,240,195,1363,3136,190,0,0,47,55,0,1595,893,487,12,0,614,0,4996,0,801,0,1578,0,0,0,3,5,21,0,0,0,0,842,0,0,0,0,0,1794,721,2567,3467,0,3272,1364,305,191,2139,1143,4476,1226,0,0,499,3664,0,0,0,0,0,0,0,0,0,0,253,180,325,28,0
SAMPLE_77,489,0,0,0,0,0,0,0,243,0,2779,2307,0,1415,0,0,0,0,2404,0,0,0,0,11,209,96,0,0,1239,3406,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0,0,0,14295,3529,0,0,623,376,214,307,33,26,72,134,0,0,5202,0,3091,964,467,1,38,5,0,0,0,0,0,0,0,0,2949,0,2415,0,0,0,0,0,103,22,55,564,0,1311,486,0,0,190,1703,23,162,86,324,792,2884,347,0,49,4,69,16,0,1525,781
SAMPLE_78,0,38,481,951,161,377,0,106,1044,0,5818,1134,464,0,164,54,115,112,0,0,3058,2383,243,1245,0,2702,0,332,2809,6693,7245,520,0,1030,0,272,0,0,147,269,321,0,870,34,2380,0,0,0,0,0,0,0,0,50,60,0,0,0,0,20,0,596,0,4701,0,916,876,0,1101,2345,492,12,4,13,0,0,0,0,0,0,0,0,0,836,200,1347,4134,4564,0,3128,1254,262,193,1924,1077,3656,1152,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,24,0
SAMPLE_79,0,44,475,970,130,424,0,119,980,0,5348,1030,462,0,357,139,214,0,0,0,3124,2423,272,1244,0,2924,0,336,64,0,284,440,0,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1283,3124,187,0,0,0,0,0,0,0,174,49,0,0,0,0,66,0,0,1397,0,0,0,8,4,19,0,0,0,0,0,852,350,0,1827,912,0,0,0,0,0,0,0,0,0,1174,0,2205,1416,0,0,472,3371,0,403,133,279,1425,2574,374,0,112,45,405,262,331,46,0
SAMPLE_80,0,50,438,955,99,408,0,95,0,0,4484,925,356,0,541,176,321,0,2803,0,1198,1590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2713,865,215,133,1213,3090,165,0,0,39,63,0,1545,801,466,15,0,576,0,4674,0,993,0,0,0,0,0,0,0,0,0,0,0,0,0,848,359,0,3887,0,5040,0,0,0,3547,0,989,378,27,268,696,304,0,0,0,536,3330,0,387,105,0,848,2095,219,0,95,27,405,253,362,35,0
SAMPLE_81,0,41,468,924,126,381,0,108,34,0,0,0,0,0,2368,867,1458,1008,4001,0,1447,2466,249,1173,0,2725,0,335,2778,6711,7284,482,0,1100,0,305,71,0,125,266,331,25,851,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,622,15,4979,0,982,0,40,0,2285,481,5,9,17,0,0,0,0,0,806,382,0,3967,0,4931,710,1034,3349,0,3093,1253,500,35,292,638,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048,0,1165,427,37,0
SAMPLE_82,0,55,522,1073,139,438,0,118,1041,0,5758,1171,491,0,352,113,225,0,0,0,3356,2651,255,1308,0,3149,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2874,872,267,184,1336,3256,175,0,0,38,63,0,1635,848,527,18,0,624,0,5046,0,877,932,0,1156,2753,529,9,2,13,0,0,0,0,0,930,406,1309,0,0,0,0,0,0,0,0,0,0,0,0,0,2172,1476,0,0,501,3514,0,379,143,309,1496,2534,339,0,121,32,395,256,384,38,0
SAMPLE_83,0,0,0,0,0,0,0,0,656,0,5330,4113,244,0,4128,1434,2438,717,4226,0,0,0,0,19,295,120,0,3,1565,4222,3921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,0,0,0,18295,4567,0,0,826,428,257,0,0,0,0,0,0,0,0,0,0,2727,841,0,26,4,17,0,0,0,0,257,447,0,3204,27,2983,25,0,75,0,103,72,0,90,888,218,1832,621,0,0,219,2114,33,253,129,459,2017,3727,464,0,50,0,0,0,0,0,0
SAMPLE_84,0,40,345,688,0,0,0,0,0,0,0,0,0,0,2172,800,1286,871,3349,0,1290,2133,210,977,0,2420,0,278,2319,5845,6177,463,0,952,0,242,82,0,114,205,311,21,768,27,2177,696,162,134,1081,0,0,0,0,0,0,0,0,0,0,0,4,518,12,4208,0,750,774,0,940,2050,408,7,4,17,0,0,0,0,0,748,323,0,3442,0,4223,0,0,0,3075,0,839,333,0,0,535,0,0,0,0,443,2862,0,0,10,0,0,0,0,0,0,0,0,121,236,25,0
SAMPLE_85,614,41,57,0,0,0,0,0,0,0,305,0,0,0,0,0,0,2314,4881,0,0,0,0,18,257,119,0,4,1542,4301,3837,0,178,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,0,18249,4461,0,0,766,429,269,440,35,12,67,0,0,0,6722,0,3980,1215,575,5,30,0,0,0,0,0,0,0,372,58,0,911,0,697,0,1009,0,60,0,0,0,815,219,1764,604,0,0,0,1923,40,214,138,502,1022,3723,449,0,0,26,59,19,17,2005,1020
SAMPLE_86,318,50,81,82,28,23,0,15,627,0,5263,3971,222,0,4101,1517,2338,0,2360,0,0,0,0,12,270,121,0,2,1549,4387,3729,0,178,0,361,14,65,0,89,306,0,0,0,0,0,0,0,0,299,0,0,0,18270,4563,0,0,820,454,255,455,37,33,84,170,0,0,6804,0,3863,1220,574,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,855,238,1911,628,0,0,324,2086,0,441,97,21,269,0,0,0,0,0,0,0,0,0,0
SAMPLE_87,0,47,126,83,26,25,0,13,679,0,5514,4157,225,0,4253,1550,2512,758,4394,0,0,0,0,23,289,130,0,7,1655,4422,4069,0,211,0,360,17,62,0,81,318,0,0,0,0,0,0,0,0,0,0,0,0,18937,4626,0,0,0,0,0,432,34,40,98,183,0,0,6988,0,4140,1307,634,5,51,6,20,0,0,0,0,264,477,0,0,1110,0,995,177,1997,0,128,67,0,78,742,0,1659,633,41,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,28,724,0,2195,0,300,2332,5525,5977,423,0,935,0,221,0,0,0,184,148,21,549,21,2106,657,171,142,1019,0,0,0,0,52,76,72,1104,618,353,16,0,485,0,3863,0,752,689,0,885,1996,374,5,4,11,0,0,0,0,0,714,270,0,3216,0,4006,497,709,2282,2037,0,852,117,138,1563,930,3247,960,0,0,400,2814,0,308,96,100,0,1635,0,0,0,0,0,0,0,0,0
SAMPLE_89,598,40,92,84,35,34,0,8,684,0,5295,4124,253,0,4176,1489,2481,688,4299,0,0,0,0,25,307,111,0,0,0,0,0,0,0,105,135,38,0,0,0,256,0,0,0,0,0,0,0,0,320,0,0,0,5297,0,0,0,904,464,262,426,0,0,0,0,0,0,0,0,0,0,388,5,41,5,0,0,0,0,0,230,460,0,3346,1,3122,3,0,3,0,0,131,12,110,856,211,1828,646,0,0,315,2149,0,311,0,423,596,3617,332,0,0,0,0,0,0,1965,1017
SAMPLE_90,0,41,402,881,137,389,0,96,966,0,5241,1086,463,0,35,0,17,1831,4013,0,1349,2280,218,971,0,1774,1086,0,2052,7201,6861,459,0,1019,0,273,73,0,112,238,282,34,801,38,2417,801,199,161,1115,0,0,0,0,135,180,571,0,0,0,24,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,271,631,123,0,0,0,0,0,44,0,28,122,0,1881,32,0,75,47,361,228,302,27,0
SAMPLE_91,0,30,388,755,106,296,0,91,0,0,4248,805,355,0,0,0,0,1564,3659,0,1158,1989,214,1014,0,2420,0,239,2245,5516,5899,0,0,0,0,0,0,0,0,0,494,25,524,14,0,440,1444,75,0,0,0,0,0,0,38,0,1243,621,351,16,0,486,0,3873,0,837,0,0,0,1950,385,9,0,9,0,0,0,0,665,0,0,0,3571,0,3952,456,593,2224,1957,0,0,0,0,0,0,0,6,0,0,0,2451,0,256,77,16,201,0,0,0,359,1025,2096,1271,753,31,0
SAMPLE_92,0,48,106,67,25,14,0,9,599,0,4788,3624,200,0,3709,1304,2208,627,3795,0,0,0,0,22,241,114,0,2,1370,3848,3559,0,184,0,357,0,0,0,0,216,0,0,0,0,0,0,0,0,0,791,0,2118,0,387,0,0,0,0,0,0,789,549,0,1657,0,0,6109,0,3564,1029,517,0,35,3,16,0,0,0,0,205,404,0,2769,26,2771,0,0,35,0,78,0,0,74,788,213,1657,548,0,0,294,1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_93,592,37,130,80,33,24,0,15,0,0,0,3168,0,0,4928,1819,2964,527,4319,0,0,0,0,0,296,95,0,5,29,0,0,77,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,0,0,0,19291,4919,0,0,0,129,142,448,38,36,103,209,0,0,7070,0,4169,1298,632,0,41,0,20,0,0,0,0,219,493,0,3318,8,3299,18,0,73,0,108,151,131,0,0,0,0,480,0,0,306,2231,0,0,0,0,0,0,0,0,0,0,0,0,0,2078,1078
SAMPLE_94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2959,0,2051,2556,281,558,0,0,0,0,0,0,0,0,0,1176,0,297,90,0,116,253,349,30,886,43,2777,907,234,149,1284,3240,183,0,0,34,65,0,1599,892,473,24,0,574,0,5018,0,826,877,0,1122,2551,525,6,8,9,0,0,0,0,0,880,366,0,4106,0,5279,683,1201,3536,0,3302,1361,562,0,0,0,0,24,0,0,542,3550,0,399,138,305,1464,2646,379,0,101,34,413,235,355,0,0
SAMPLE_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2875,0,1942,2410,238,1215,0,2720,0,373,2738,6529,7170,517,0,1078,0,292,82,0,141,250,310,32,725,0,0,0,0,0,0,0,0,0,0,36,45,0,1574,862,448,15,0,596,0,4634,0,823,778,0,1051,2365,475,4,3,10,0,0,0,0,0,862,392,0,3809,0,4854,645,1078,3249,0,3151,1221,504,32,305,648,141,0,0,0,478,3309,0,393,128,246,1389,2392,250,0,0,1032,0,0,0,0,0
SAMPLE_96,0,40,0,790,0,0,0,0,223,0,1259,0,0,0,0,0,0,0,0,0,0,824,36,718,0,1886,0,0,0,4463,3091,0,0,0,0,55,0,0,0,0,0,0,0,0,2700,830,226,161,1245,1,0,0,0,129,188,621,0,0,0,15,0,584,0,4759,0,868,872,0,1125,2450,492,7,3,18,0,0,0,0,0,838,392,0,4041,0,5113,740,1121,3377,0,3221,1327,296,170,1912,1073,4033,1170,0,0,0,0,141,21,60,253,1089,2505,258,0,23,0,0,0,0,32,0
SAMPLE_97,0,0,0,0,0,0,0,0,878,0,5095,1026,420,0,3,1,3,1652,3752,0,987,0,147,598,0,2185,0,307,2426,5824,6122,467,0,1012,0,241,57,0,110,245,279,26,712,41,0,0,0,0,1114,0,0,0,0,0,0,0,0,118,164,0,9,0,0,0,62,0,0,0,0,2123,433,0,0,0,0,0,0,0,749,0,0,0,3870,0,4208,582,916,2962,0,2813,1094,435,20,264,586,582,0,0,0,398,2916,0,346,100,196,1105,2232,0,0,0,0,0,0,0,0,0
