,TAXA_1,TAXA_2,TAXA_3,TAXA_4,TAXA_5,TAXA_6,TAXA_7,TAXA_8,TAXA_9,TAXA_10,TAXA_11,TAXA_12,TAXA_13,TAXA_14,TAXA_15,TAXA_16,TAXA_17,TAXA_18,TAXA_19,TAXA_20,TAXA_21,TAXA_22,TAXA_23,TAXA_24,TAXA_25,TAXA_26,TAXA_27,TAXA_28,TAXA_29,TAXA_30,TAXA_31,TAXA_32,TAXA_33,TAXA_34,TAXA_35,TAXA_36,TAXA_37,TAXA_38,TAXA_39,TAXA_40,TAXA_41,TAXA_42,TAXA_43,TAXA_44,TAXA_45,TAXA_46,TAXA_47,TAXA_48,TAXA_49,TAXA_50,TAXA_51,TAXA_52,TAXA_53,TAXA_54,TAXA_55,TAXA_56,TAXA_57,TAXA_58,TAXA_59,TAXA_60,TAXA_61,TAXA_62,TAXA_63,TAXA_64,TAXA_65,TAXA_66,TAXA_67,TAXA_68,TAXA_69,TAXA_70,TAXA_71,TAXA_72,TAXA_73,TAXA_74,TAXA_75,TAXA_76,TAXA_77,TAXA_78,TAXA_79,TAXA_80,TAXA_81,TAXA_82,TAXA_83,TAXA_84,TAXA_85,TAXA_86,TAXA_87,TAXA_88,TAXA_89,TAXA_90,TAXA_91,TAXA_92,TAXA_93,TAXA_94,TAXA_95,TAXA_96,TAXA_97,TAXA_98,TAXA_99,TAXA_100,TAXA_101,TAXA_102,TAXA_103,TAXA_104,TAXA_105,TAXA_106,TAXA_107,TAXA_108,TAXA_109,TAXA_110,TAXA_111,TAXA_112,TAXA_113,TAXA_114,TAXA_115,TAXA_116,TAXA_117,TAXA_118,TAXA_119,TAXA_120,TAXA_121,TAXA_122,TAXA_123,TAXA_124
SAMPLE_45,0,0,0,0,0,0,0,0,0,2392,220,795,0,0,88,8,0,0,51,21,56,50,57,69,0,0,0,2297,0,0,47,0,120,0,78,390,2394,1292,2142,0,0,2611,0,0,0,44,54,76,26,0,32,3,1,284,361,491,1,0,0,930,0,5152,8423,70,307,24,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,2313,770,0,0,345,0,0,0,473,0,597,483,271,451,164,1442,0,704,2326,0,458,0,732,0,473,50,60,0,1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_46,423,23,0,0,0,0,309,334,0,2066,165,246,0,1755,0,0,8,0,6,0,0,22,33,52,0,0,0,1720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3933,6132,104,521,1172,322,203,554,16,24,46,24,25,44,219,8,30,148,1106,1691,0,0,792,624,97,475,0,0,368,0,471,376,219,323,102,1017,0,541,1747,0,377,0,534,0,348,42,55,0,816,0,0,766,245,2417,278,804,0,56,1826,1251,0,587,47
SAMPLE_47,1523,48,0,0,0,0,1019,0,13,0,120,4,2,74,0,0,0,1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1340,0,37,148,1,81,1631,0,0,3103,0,0,1115,1533,751,222,855,0,61,1169,3774,993,0,20,0,5,0,2322,3925,68,150,2633,121,411,267,32,9,16,0,0,15,5,0,726,1030,5890,3508,0,0,218,546,1250,2946,465,3842,0,1819,398,1935,1881,2618,0,755,0,1223,5556,0,271,0,0,0,0,0,0,0,0,1,0,2,9,10,17,112,124,0,0,0,0,0,0
SAMPLE_48,0,12,131,87,0,658,1071,0,17,0,118,6,4,68,0,0,1538,0,22,7,0,0,0,0,0,61,0,0,4904,1695,0,0,22,238,1347,0,59,167,8,115,1633,0,0,3027,1,0,1199,1571,752,174,842,0,41,1246,3647,1004,0,18,1,4,0,0,0,48,158,2571,112,383,292,0,0,0,0,0,12,8,1,684,908,5965,3547,0,0,217,389,1178,2260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,1,0,12,5,7,12,122,136,0,0,27,88,0,7
SAMPLE_49,0,0,0,0,0,0,389,400,0,2907,212,296,0,2235,0,0,0,0,58,21,52,50,39,81,0,0,0,0,0,0,0,0,0,0,0,463,2413,1284,2067,0,0,2523,0,0,0,29,35,47,0,0,0,0,0,0,160,0,51,0,0,0,1904,0,650,191,671,1577,390,283,750,16,35,54,39,39,71,280,10,40,189,1373,2153,0,0,577,0,421,639,0,0,0,0,0,0,0,0,336,1155,0,641,2345,0,479,0,721,0,463,30,58,0,1138,0,0,720,0,2795,506,1029,0,73,2280,1366,0,0,0
SAMPLE_50,399,20,0,0,0,0,345,330,0,2234,193,217,0,1813,0,0,0,0,59,29,35,40,30,52,0,0,0,1750,0,0,70,0,0,0,59,326,1868,952,1671,0,0,1949,0,0,0,33,40,63,22,0,19,2,1,200,274,400,0,0,0,715,1902,0,0,95,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,492,320,219,344,131,1090,0,552,1846,0,356,0,622,0,408,32,56,0,843,0,0,0,0,0,0,0,0,68,1807,1235,0,583,41
SAMPLE_51,405,22,0,0,0,0,332,366,0,2344,179,261,0,1864,0,0,0,0,44,21,28,41,47,38,0,0,0,1878,0,0,49,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,313,402,0,0,0,747,0,4209,6672,151,571,1293,379,205,655,19,20,47,19,23,63,221,4,122,0,1020,1797,0,0,841,682,189,959,238,1380,0,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,17,0,914,0,0,892,299,2538,320,910,0,60,1976,1297,0,634,26
SAMPLE_52,2132,113,165,90,0,615,955,0,27,0,114,3,1,68,0,0,103,1514,134,61,332,179,232,219,74,84,0,0,4457,1653,0,0,322,185,998,0,193,627,16,342,0,363,0,2757,35,0,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,692,878,5438,3303,0,0,210,479,1200,2664,502,3537,0,1698,0,1232,0,1362,0,0,0,0,4240,0,250,0,240,0,383,2337,21,0,0,0,14,0,2,0,12,65,132,0,0,510,174,1109,197
SAMPLE_53,2310,119,0,0,0,665,1047,0,21,0,124,26,0,0,0,0,1499,0,155,102,381,177,242,206,69,89,0,0,4851,1860,0,0,711,229,806,0,181,683,16,406,0,368,0,2869,0,0,1183,1569,758,192,847,0,53,1225,3757,1059,0,31,0,4,0,0,0,34,18,2666,121,452,303,39,0,10,0,0,18,4,2,721,895,5784,3514,0,0,252,517,1300,2940,533,3864,0,1794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,556,158,1163,239
SAMPLE_54,0,0,0,0,0,0,0,0,0,0,0,0,0,2381,0,0,0,0,65,26,38,40,44,70,0,0,0,2316,0,0,91,0,0,0,95,399,2338,1285,2119,0,0,0,0,0,0,46,57,65,34,0,18,7,0,116,0,334,5,0,0,866,0,4926,8368,0,0,1786,468,290,791,0,0,0,31,33,0,258,0,0,0,0,1996,0,0,964,835,142,661,0,283,0,0,497,0,411,354,0,1225,0,665,2383,0,470,0,756,0,521,32,60,0,1094,0,0,720,0,2872,0,0,0,0,0,0,0,0,0
SAMPLE_55,2202,115,141,95,0,659,987,0,12,0,110,1,3,63,0,0,1498,0,127,90,345,137,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,2482,4005,66,140,2626,102,399,270,42,8,9,0,0,12,8,3,694,921,5901,3411,0,0,234,510,1316,2916,477,3796,0,1746,360,1863,1831,2628,0,713,0,1270,5634,0,335,0,302,0,486,2239,30,0,0,0,10,0,0,0,15,131,118,0,0,494,185,1198,205
SAMPLE_56,1571,98,136,94,0,568,887,0,17,0,110,2,3,61,0,0,1319,0,121,75,356,139,211,170,71,95,0,0,4132,1470,0,327,8,9,1169,0,0,0,0,0,1894,0,0,0,0,0,788,0,296,0,203,0,23,1102,3186,821,0,0,6,0,0,2322,3494,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,297,2249,0,1403,357,1666,1581,2359,0,647,0,1140,5153,0,318,0,302,0,440,1955,28,0,0,4,0,10,8,4,0,0,0,0,0,0,64,0,128
SAMPLE_57,2318,137,0,0,0,0,942,0,27,0,119,4,10,66,0,0,0,0,0,0,0,0,0,4,12,71,0,0,3995,0,0,0,0,226,1378,0,197,684,27,414,0,326,0,2846,0,0,1145,1507,751,206,835,0,55,1221,3648,973,0,0,4,0,0,2495,3874,114,376,1353,145,0,0,0,0,0,0,0,12,6,3,0,101,0,2545,0,0,0,0,1235,2501,457,3592,0,1713,402,1970,1867,2589,0,699,0,1045,4449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,142,0,0,507,197,1183,217
SAMPLE_58,488,13,0,0,0,0,370,414,0,2701,0,711,0,0,0,130,0,0,66,32,50,45,45,77,0,0,0,0,0,0,73,0,0,0,67,324,2166,1177,1926,0,0,0,0,71,0,18,46,77,37,0,22,8,0,149,0,339,0,0,0,823,0,4613,7423,0,0,14,0,19,0,13,20,51,24,27,69,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,432,269,410,148,1219,0,563,1712,0,287,0,0,0,0,0,0,0,0,306,0,733,0,2684,0,0,0,77,2164,1477,0,669,48
SAMPLE_59,1634,79,0,0,0,0,0,0,0,0,119,1,7,64,0,0,1108,382,102,62,322,61,0,0,0,47,0,0,4610,1575,0,399,0,0,0,0,0,0,0,0,0,0,0,0,15,0,831,0,362,0,241,0,21,0,1874,0,0,1,3,0,0,2382,3875,57,128,2420,117,406,284,28,3,24,0,0,13,4,1,669,950,5658,3262,0,0,256,493,1232,2774,467,3516,0,1736,355,1784,1822,2328,0,0,0,0,0,0,0,0,0,0,0,2689,0,0,0,0,14,0,1,0,25,98,118,0,0,25,84,0,195
SAMPLE_60,6,0,108,23,0,0,364,319,0,2163,0,0,0,1887,0,0,0,0,51,22,30,50,26,60,0,0,0,1859,0,0,21,0,123,0,78,302,1983,1080,1751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,50,975,420,0,509,27,22,43,25,36,60,223,8,52,159,1134,1783,0,0,767,675,118,486,0,0,405,0,531,426,260,376,121,1201,0,575,1979,0,403,0,630,0,417,0,56,0,964,0,0,0,0,0,0,18,0,67,1966,1143,0,0,0
SAMPLE_61,2285,112,152,83,0,656,1039,0,19,0,93,7,4,88,0,0,20,1879,0,32,345,129,238,189,64,105,0,0,3963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,25,0,12,1192,3643,934,0,0,3,0,0,2268,3912,25,0,0,0,0,0,0,0,0,0,0,24,6,0,721,951,5814,3472,0,0,249,512,1258,2941,438,3651,0,1750,358,1911,1774,2600,0,737,0,1254,5641,0,317,0,304,0,480,2203,26,0,0,0,0,0,0,0,13,48,153,0,0,550,161,1188,219
SAMPLE_62,385,27,0,0,0,0,320,350,0,2193,172,251,0,1765,0,0,0,0,55,16,45,38,31,59,0,0,0,0,0,0,3,0,170,0,49,288,1873,955,1553,0,0,2018,0,0,0,39,50,57,17,0,0,0,0,0,0,0,30,0,0,705,1929,0,0,151,563,1225,342,212,622,15,18,35,25,26,48,208,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,850,0,0,827,260,2445,284,892,0,56,1833,1217,0,608,46
SAMPLE_63,561,18,0,0,0,0,400,394,0,2767,223,287,0,2105,0,0,0,0,55,26,43,47,43,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2527,0,0,209,654,1455,388,246,718,14,34,55,24,48,0,217,8,63,169,1348,2121,0,0,948,774,122,591,0,0,444,0,584,481,248,376,161,1280,0,659,2115,0,406,0,750,0,457,44,50,0,1109,0,0,1072,317,2996,372,1097,0,79,2262,1485,0,685,78
SAMPLE_64,0,0,0,66,0,641,908,0,0,0,0,0,0,6,33,0,879,495,112,67,331,179,200,184,78,84,0,0,4395,1647,0,0,1782,213,0,0,0,0,0,50,1629,0,0,0,0,0,1000,1429,693,177,714,0,50,0,1774,0,0,0,1,0,0,2151,3720,38,123,1483,174,0,5,22,0,0,0,0,0,0,0,0,0,0,0,1954,739,0,70,0,407,298,2250,0,1582,348,1823,1735,2454,0,660,0,1182,5032,0,253,0,0,0,3,2489,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1837,0,0,0,75,215,171,46,101,0,0,3991,0,0,0,853,242,760,0,33,144,2,99,1618,0,0,3010,1,0,1162,1568,748,212,807,0,46,1146,3676,1002,0,1,8,0,0,2267,3880,248,857,526,0,94,61,34,0,12,0,0,10,6,0,734,955,5814,3439,0,0,260,507,1277,2996,502,3819,0,1831,370,1866,1870,2461,0,0,0,1120,5647,0,335,0,333,0,445,2347,33,0,0,0,9,2,1,2,0,228,0,0,0,0,0,0,0
SAMPLE_66,0,0,111,23,0,0,385,475,0,2887,262,269,0,2274,0,0,0,0,58,22,35,55,40,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,370,424,0,0,0,0,2674,0,0,210,714,1500,418,248,799,0,25,40,34,21,68,276,12,142,0,1219,2168,0,0,922,892,233,1181,276,1601,0,669,0,94,59,275,331,1275,0,668,2311,0,480,0,759,0,474,57,70,0,1006,0,0,1009,286,3056,377,1105,0,0,0,0,0,0,0
SAMPLE_67,512,22,0,0,0,0,444,398,0,2914,224,776,0,0,70,0,30,0,0,12,43,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,350,442,0,0,0,861,2463,0,0,0,623,953,457,0,635,18,20,37,0,0,61,274,10,0,160,1092,2149,0,0,1003,781,133,645,0,0,490,0,604,447,305,425,154,1345,0,681,2307,0,446,0,743,0,508,40,112,225,0,499,0,1163,320,3086,375,1101,0,92,2329,1547,0,721,38
SAMPLE_68,477,25,0,0,0,0,391,473,0,2689,240,293,0,2195,0,0,15,0,11,0,0,16,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,396,445,0,0,0,842,2437,0,0,196,658,1420,383,226,705,0,0,0,0,0,61,231,6,57,194,1343,2056,0,0,917,735,101,597,0,0,438,0,637,458,285,393,161,1363,0,693,2173,0,436,0,688,0,451,48,57,0,1036,0,0,1023,315,2913,374,1057,0,82,2265,1499,0,717,46
SAMPLE_69,371,17,0,0,0,0,281,295,0,1926,166,193,0,1492,0,0,0,0,36,10,32,38,31,43,0,0,0,1478,0,0,47,0,9,0,49,0,1205,716,1406,0,0,1708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,579,0,3421,5547,0,0,1177,324,189,564,16,19,43,13,27,43,209,4,38,124,923,1460,0,0,686,543,87,439,0,0,336,0,428,321,174,237,91,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1575,1107,0,523,42
SAMPLE_70,2079,111,167,104,0,620,995,0,19,0,102,2,8,64,0,0,234,1372,129,57,347,145,234,192,74,68,0,0,3781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2236,3854,0,0,2519,98,415,302,42,10,15,0,0,19,0,0,682,802,5641,3337,0,0,260,467,1178,2708,449,3615,0,1734,323,1778,1784,2463,0,731,0,1220,5516,0,339,0,324,0,456,2136,28,0,0,0,0,3,8,5,7,65,108,0,0,507,152,1124,193
SAMPLE_71,0,0,0,0,0,0,376,426,0,2647,241,279,0,2118,0,0,0,0,62,27,42,43,33,79,0,0,0,2033,0,0,0,0,0,0,69,711,1962,0,2089,0,0,2291,0,0,0,46,50,78,37,0,24,3,1,281,354,428,0,0,0,801,0,4656,7517,0,0,1658,472,247,768,15,33,58,32,26,64,265,7,0,99,745,1348,318,0,770,792,117,544,0,0,457,0,554,474,257,395,135,1321,0,602,2120,0,409,0,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_72,498,25,0,0,0,0,402,423,0,2887,245,312,0,2360,0,0,0,0,66,17,27,34,28,0,0,0,0,2375,0,0,97,0,11,0,77,395,2364,1284,2080,0,0,0,0,85,0,24,54,96,34,0,14,1,1,0,179,0,53,0,0,868,2514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1399,0,425,796,120,603,0,0,522,0,632,468,315,449,169,1441,0,685,2406,0,460,0,767,0,497,35,48,0,1103,0,0,1083,343,3186,287,366,0,74,2384,1707,0,753,55
SAMPLE_73,1902,100,135,87,0,518,894,0,18,0,104,5,8,70,0,0,0,1394,121,36,313,143,216,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1023,2962,841,0,4,3,0,0,0,1151,0,65,2146,106,336,234,23,0,0,0,0,0,0,0,574,786,4882,2887,0,0,227,406,1138,2507,424,3146,0,1555,318,1621,1541,2257,0,580,0,1134,4638,0,269,0,279,0,362,1916,22,0,0,1,0,9,6,2,9,78,107,0,0,466,148,1020,172
SAMPLE_74,0,0,178,89,0,313,482,0,0,0,0,0,0,0,0,0,0,0,60,18,51,58,44,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,400,428,0,0,0,903,0,5160,8191,0,0,1754,473,306,793,12,34,46,36,35,63,278,8,56,199,1340,2294,0,0,967,787,120,630,0,230,482,0,634,445,281,426,146,1355,0,707,2326,0,466,0,784,0,502,43,54,0,1110,0,0,1007,323,3135,0,0,0,76,2253,1565,0,456,0
SAMPLE_75,0,0,0,0,0,0,854,0,17,0,100,2,2,78,0,0,52,1549,124,52,307,164,243,163,60,86,0,0,4238,1671,0,0,632,210,812,0,103,426,15,216,536,0,0,2748,3,0,986,1420,702,179,679,0,52,1075,3260,859,0,0,1,0,0,0,0,40,81,2393,111,361,263,42,11,15,0,0,29,10,0,625,872,5104,3046,0,0,166,321,1081,2085,0,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,6,0,53,115,0,0,28,88,0,0
SAMPLE_76,2147,97,0,0,28,12,0,0,19,0,105,3,7,66,0,0,131,1397,129,48,342,149,231,189,61,84,0,0,4473,1595,0,0,742,216,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,7,1100,3286,862,0,6,3,0,0,0,0,63,113,2324,107,328,249,33,12,17,0,0,11,9,0,611,869,5365,3164,0,0,212,447,1104,2650,445,3352,0,1759,308,1696,1614,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,15,95,98,0,0,421,153,1061,223
SAMPLE_77,1965,76,157,117,0,622,1082,0,19,0,104,8,7,81,0,0,0,1767,141,64,379,154,294,215,78,80,0,0,4717,1774,0,0,11,194,1285,0,190,619,14,368,0,355,0,2778,5,0,1147,1579,738,187,744,0,47,1234,3544,930,0,16,1,2,0,2306,4090,41,34,2656,96,415,256,0,0,0,0,0,0,0,0,0,0,4221,3186,0,0,0,0,917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,2,4,0,0,0,474,175,1000,0
SAMPLE_78,437,15,0,0,0,0,376,406,0,2541,213,269,0,2065,0,0,0,0,64,24,61,33,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,362,393,2,0,0,815,0,4577,7188,146,648,1357,324,239,745,17,26,43,24,30,60,251,7,56,178,1227,2003,0,0,0,0,0,0,197,928,0,495,0,95,40,258,328,1212,0,645,2134,0,398,0,673,0,438,40,57,0,1026,0,0,1011,317,2823,335,1000,0,71,2065,1425,0,660,0
SAMPLE_79,2289,136,137,106,0,606,1055,0,0,0,0,0,0,0,31,0,1548,0,161,102,356,176,260,184,72,100,0,0,4788,1887,0,0,91,206,1278,0,0,270,0,221,968,0,476,5230,717,0,0,2,18,80,42,0,10,0,0,0,0,0,0,0,0,2522,4090,45,72,2638,96,397,288,41,11,27,0,0,9,6,2,0,113,0,2601,0,0,240,496,1300,3002,509,3808,0,1860,425,1955,1722,2646,0,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,128,0,0,512,164,1217,235
SAMPLE_80,0,0,0,0,0,0,0,0,0,0,137,23,0,0,0,60,0,0,0,0,0,81,196,175,48,78,0,0,4952,1835,0,0,196,227,1226,0,173,641,22,390,0,351,0,2855,2,0,1154,1556,801,201,802,0,50,1222,3688,981,0,1,4,0,0,2637,4206,29,25,2827,118,451,326,44,14,21,0,0,0,0,0,753,1000,6046,3543,0,0,263,553,1294,2959,493,3966,0,1872,403,2006,1982,2690,0,734,0,1392,5999,0,301,0,311,0,394,2433,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
SAMPLE_81,2326,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950,203,0,0,189,685,15,424,0,381,0,2961,0,0,1102,1606,727,198,876,0,62,1262,3832,1001,0,3,6,0,0,2586,4222,60,136,2622,130,419,297,36,7,14,0,0,15,5,2,739,980,6007,3616,0,0,258,528,1366,3051,515,4015,0,1893,410,2067,1915,2871,0,763,0,1314,5733,0,260,0,0,0,3,2790,0,0,0,0,7,8,4,8,11,123,137,0,0,542,170,1253,228
SAMPLE_82,0,7,0,0,32,11,0,0,18,0,92,4,1,72,0,0,4,1396,106,48,277,112,198,181,53,60,0,0,3894,1492,0,0,211,185,904,0,65,243,2,118,988,0,0,2411,0,0,706,0,346,288,0,0,8,1012,2942,781,0,22,0,4,0,1813,3115,97,299,1058,130,0,5,19,6,11,0,0,10,0,1,0,100,0,2069,0,0,144,340,990,1882,0,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2219,0,0,0,0,0,8,5,11,21,103,0,0,0,0,66,0,7
SAMPLE_83,0,11,113,80,0,562,921,0,19,0,129,1,5,58,0,0,1074,223,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,121,965,0,0,2739,2,0,780,820,0,0,0,0,11,0,0,2,0,17,0,3,0,0,0,0,1069,0,137,7,14,35,7,14,0,0,19,7,0,599,865,5036,3012,0,0,0,0,1028,1762,0,615,189,0,365,1747,1696,2427,0,667,0,1124,4947,0,237,0,0,0,0,2424,0,0,0,0,0,0,0,0,99,419,111,0,0,29,72,0,6
SAMPLE_84,443,26,0,0,0,0,356,393,0,2401,207,273,0,1982,0,0,0,0,49,21,28,53,45,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,341,402,0,0,0,758,0,4293,6791,126,596,1364,339,216,684,15,30,49,23,26,60,248,11,45,185,1135,1889,0,0,838,717,98,516,0,0,421,0,457,274,178,0,153,1046,0,256,448,0,0,0,0,0,0,0,0,0,993,0,0,927,276,2661,288,926,0,79,2003,1449,0,633,45
SAMPLE_85,412,12,0,0,0,0,350,393,0,2346,182,243,0,1891,0,0,0,0,0,0,0,18,24,55,0,0,0,0,0,0,32,0,124,0,71,307,1885,1041,1714,0,0,2140,0,0,0,37,51,79,28,0,17,4,0,218,315,402,0,0,0,734,0,4038,6660,168,677,24,0,13,0,0,0,0,0,0,44,194,5,42,162,1135,1783,0,0,767,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845,270,2735,315,901,0,70,1888,1297,0,631,60
SAMPLE_86,200,0,1,0,0,0,449,467,0,2949,231,886,0,0,8,100,0,0,48,29,47,61,46,83,0,0,0,2180,0,0,46,0,152,0,74,859,2128,0,2214,0,0,0,0,156,53,2,0,0,0,0,0,0,0,282,375,470,0,0,0,936,2470,0,0,0,0,0,0,0,0,0,35,47,30,26,78,270,10,65,179,1400,2193,0,0,1035,796,139,645,0,0,518,0,641,517,299,460,139,1400,0,689,2318,0,419,0,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,2408,0,0,99,0
SAMPLE_87,1977,109,114,69,0,528,857,0,15,0,118,19,4,0,33,0,1164,66,0,0,203,59,165,123,0,59,0,0,4077,1647,0,0,149,192,1082,0,132,579,13,340,0,317,0,2453,0,0,924,1263,510,0,0,0,9,1039,3019,798,0,23,0,6,0,2144,3455,89,280,1479,0,239,0,0,0,0,0,0,0,0,0,0,0,0,2217,0,0,190,355,997,1957,104,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,10,0,0,0,33,174,121,0,0,450,149,1046,182
SAMPLE_88,0,0,0,0,0,582,1036,0,18,0,107,2,4,75,0,0,1473,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2904,3,0,845,876,0,0,0,0,6,1163,3411,918,0,0,1,0,0,2482,3770,153,580,1022,168,0,8,38,7,21,0,0,9,7,1,643,858,5680,3328,0,0,0,373,1236,2715,452,3649,0,1711,352,1864,1819,2577,0,706,0,949,4200,0,0,0,2,0,6,2685,1,0,0,0,5,1,2,2,62,250,123,0,0,24,86,0,0
SAMPLE_89,1656,88,121,83,0,475,795,0,9,0,80,1,4,52,0,0,596,631,0,0,163,64,154,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,52,32,0,8,485,2106,0,0,1,3,0,0,1775,2983,52,83,1349,0,191,0,27,8,18,0,0,8,6,0,521,745,4626,2604,0,0,0,0,707,0,0,0,250,916,305,1506,1387,1975,0,562,0,100,0,1291,0,0,0,0,5,2079,1,0,0,2,0,6,4,7,0,23,0,0,0,391,150,870,187
SAMPLE_90,0,0,0,0,0,0,0,0,0,0,99,1,6,75,0,0,286,1402,139,56,362,175,252,214,66,92,0,0,4781,1811,0,0,0,192,1404,0,206,599,11,364,0,0,0,3162,21,0,880,0,480,504,485,0,38,1206,3723,986,0,4,5,0,0,2349,4152,32,26,2821,105,461,304,41,12,20,0,0,0,8,6,341,719,3666,0,1259,0,0,376,1316,2778,503,3862,0,1861,199,1075,1294,0,0,0,0,0,4397,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0
SAMPLE_91,443,22,0,0,0,0,344,352,0,2436,224,250,0,1997,0,0,0,0,66,23,40,36,40,47,0,0,0,1996,0,0,0,0,202,0,82,300,2024,1078,1844,0,0,2210,0,0,0,42,33,0,0,0,0,0,0,230,329,428,0,0,0,759,0,4447,7088,0,0,990,474,0,517,0,0,0,0,0,0,0,0,0,0,0,0,1837,567,0,320,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1409,308,0,211,31,46,0,969,0,0,576,0,2480,207,0,0,88,2074,1475,0,626,49
SAMPLE_92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,62,0,0,3314,0,0,0,712,155,607,0,41,154,4,86,1214,0,0,0,6,0,869,1144,485,0,0,0,2,927,3025,766,0,0,5,0,0,2030,3213,53,113,2041,86,323,227,29,8,8,0,0,8,5,3,570,766,4744,2905,0,0,205,419,1071,2324,416,3070,0,1410,292,1594,1489,2100,0,597,0,1027,4602,0,262,0,247,0,375,1859,30,0,0,2,0,5,6,4,16,91,117,0,0,0,0,0,0
