,TAXA_1,TAXA_2,TAXA_3,TAXA_4,TAXA_5,TAXA_6,TAXA_7,TAXA_8,TAXA_9,TAXA_10,TAXA_11,TAXA_12,TAXA_13,TAXA_14,TAXA_15,TAXA_16,TAXA_17,TAXA_18,TAXA_19,TAXA_20,TAXA_21,TAXA_22,TAXA_23,TAXA_24,TAXA_25,TAXA_26,TAXA_27,TAXA_28,TAXA_29,TAXA_30,TAXA_31,TAXA_32,TAXA_33,TAXA_34,TAXA_35,TAXA_36,TAXA_37,TAXA_38,TAXA_39,TAXA_40,TAXA_41,TAXA_42,TAXA_43,TAXA_44,TAXA_45,TAXA_46,TAXA_47,TAXA_48,TAXA_49,TAXA_50,TAXA_51,TAXA_52,TAXA_53,TAXA_54,TAXA_55,TAXA_56,TAXA_57,TAXA_58,TAXA_59,TAXA_60,TAXA_61,TAXA_62,TAXA_63,TAXA_64,TAXA_65,TAXA_66,TAXA_67,TAXA_68,TAXA_69,TAXA_70,TAXA_71,TAXA_72,TAXA_73,TAXA_74,TAXA_75,TAXA_76,TAXA_77,TAXA_78,TAXA_79,TAXA_80,TAXA_81,TAXA_82,TAXA_83,TAXA_84,TAXA_85,TAXA_86,TAXA_87,TAXA_88,TAXA_89,TAXA_90,TAXA_91,TAXA_92,TAXA_93,TAXA_94,TAXA_95,TAXA_96,TAXA_97,TAXA_98,TAXA_99,TAXA_100,TAXA_101,TAXA_102,TAXA_103,TAXA_104,TAXA_105,TAXA_106,TAXA_107,TAXA_108,TAXA_109,TAXA_110,TAXA_111,TAXA_112,TAXA_113,TAXA_114,TAXA_115,TAXA_116,TAXA_117,TAXA_118
SAMPLE_47,0,3592,0,0,3,0,0,729,0,0,0,0,1486,1913,0,6321,0,4226,0,1014,1189,0,1766,360,0,2763,0,304,0,0,0,923,74,0,0,124,1205,0,0,448,997,0,36,43,0,752,0,0,0,344,10,0,69,150,694,0,0,75,0,4168,0,0,1317,0,99,382,0,2,43,161,0,0,18,31,93,956,774,0,246,0,0,0,67,0,683,0,77,0,2865,0,0,0,778,25,0,44,0,0,0,2407,1981,0,40,12,0,297,0,0,0,0,64,0,0,883,326,0,330,4462
SAMPLE_48,0,403,0,411,0,2499,2268,1515,0,1257,0,14,5755,1477,0,0,0,0,0,0,1069,0,0,0,0,222,0,0,1621,0,0,519,0,0,148,990,0,0,5,0,80,0,47,0,0,0,43,0,404,1403,0,0,0,447,1830,0,0,11,0,19,0,2007,0,0,0,1859,1958,0,0,0,0,38,0,290,0,2017,60,575,2308,1484,34,0,0,0,5258,0,0,831,8633,274,0,195,0,0,0,331,1282,0,594,5556,0,0,1589,306,0,0,0,0,0,1610,88,1539,0,0,241,0,40,41
SAMPLE_49,0,0,11,610,0,3106,2926,423,0,0,0,777,1533,1626,0,0,0,1392,1083,2990,621,0,518,123,0,491,0,205,2241,0,0,1075,0,0,298,272,0,204,317,30,0,0,220,0,0,0,1888,0,198,230,113,0,0,254,0,1206,0,16,676,75,0,2409,859,150,184,0,1573,0,381,0,382,0,0,0,111,0,0,1212,133,0,0,0,0,89,0,0,372,0,11416,204,0,200,903,0,869,0,0,0,2223,9421,647,0,1627,3,0,0,2095,0,733,0,2029,964,0,0,2626,0,0,361
SAMPLE_50,0,1128,0,0,0,1694,153,0,1257,0,0,750,176,3321,353,3505,0,5440,48,1119,0,0,1211,0,0,3759,0,0,113,19,0,1558,2,1465,0,38,0,314,1603,2646,2321,0,4,1074,0,0,261,11,244,159,0,333,0,12,0,0,220,0,26,1138,0,2353,0,1069,49,451,0,0,0,0,0,0,0,835,118,444,437,463,0,1088,0,0,0,0,933,0,41,0,14103,0,0,0,0,56,41,2,0,0,3456,8455,373,0,2041,281,64,1457,1215,0,0,0,0,417,0,0,794,4411,0,656
SAMPLE_51,219,0,3020,0,302,0,1253,168,38,2352,0,59,898,1034,72,2386,0,0,0,0,0,0,425,0,0,37,0,0,101,361,0,764,0,0,0,0,0,0,145,71,6,1872,94,0,0,0,156,3936,0,0,68,68,0,800,1719,0,0,0,0,144,0,1375,185,1268,298,637,0,0,155,219,0,0,0,0,104,0,0,320,0,0,154,0,11,0,0,16,0,0,3846,56,0,145,57,0,75,352,2190,0,3529,3112,0,385,813,296,433,0,60,0,369,629,199,626,0,0,137,54,0,707
SAMPLE_52,90,39,0,0,179,4404,18,3158,1506,0,0,46,0,1745,0,5952,0,3189,0,3,0,0,985,0,929,216,0,0,738,0,448,1553,0,0,0,1013,0,0,1739,164,0,0,0,223,83,0,1600,0,0,1115,1478,0,35,169,1866,0,0,0,136,5965,0,998,432,998,0,1186,5268,3,0,120,0,0,0,0,0,9,94,1511,2939,0,861,0,23,0,2515,0,0,0,0,259,0,0,429,1,0,50,1582,0,0,0,0,0,785,0,0,0,418,0,1755,0,2076,0,188,1726,0,392,527,1599
SAMPLE_53,0,32,187,1349,0,0,2695,1744,0,0,0,0,4380,2791,0,3077,0,0,19,922,105,0,773,0,0,158,0,0,3846,0,0,0,1164,0,5,501,0,0,0,32,105,0,0,240,0,0,512,0,0,1810,503,0,0,855,0,0,0,0,0,0,0,4231,0,314,1509,0,1629,0,0,0,3828,0,0,1089,315,1301,273,31,1575,0,37,0,0,0,1266,0,1307,0,0,8,0,1310,0,0,0,0,55,0,610,2297,30,300,2421,0,0,18,112,0,0,1683,172,639,218,967,3437,456,3,319
SAMPLE_54,0,3721,0,0,12,1121,3319,4,0,0,0,715,0,1083,0,204,0,0,0,0,619,0,0,261,0,61,0,1250,2908,0,0,329,0,0,1739,598,0,0,333,1968,22,0,88,130,0,0,1259,0,0,1739,908,0,0,101,126,0,0,75,12,3114,0,2161,730,484,0,2016,298,364,311,0,676,0,0,540,219,559,565,56,1216,1856,0,0,22,0,0,0,0,0,6472,19,0,1236,690,17,0,303,2661,0,1006,7443,769,0,0,410,0,0,1441,0,0,1187,7,177,0,0,2851,0,20,0
SAMPLE_55,652,0,0,0,0,201,2263,0,535,0,0,0,6482,2764,0,5236,0,1069,46,49,0,4014,947,124,202,596,13,0,129,3,135,3,0,0,1459,0,0,0,1140,435,506,0,221,53,0,0,2397,1994,610,1997,1607,0,0,1,1532,0,406,0,0,0,0,762,0,496,0,0,1669,0,6,0,1705,0,0,0,0,1900,90,360,0,0,0,30,101,0,1004,0,0,874,0,239,0,783,2757,0,0,0,641,1964,1558,2503,1210,57,750,1,0,0,0,0,0,2230,2627,0,0,0,6386,0,8,3314
SAMPLE_56,0,1,0,0,0,0,4148,0,0,0,3,724,104,1317,0,1886,0,0,0,1860,48,0,569,583,0,18,0,0,0,0,0,3,0,0,0,0,46,0,493,1340,12,0,0,0,0,25,43,65,0,12,10,0,0,617,263,168,0,0,0,0,0,0,0,177,231,0,0,0,6,6,25,0,0,602,0,33,148,69,17,0,0,0,1,0,644,0,0,0,2660,24,0,0,55,0,0,2115,0,0,1830,2472,0,0,0,0,0,0,1708,138,0,0,410,108,0,0,3115,0,440,114
SAMPLE_57,391,480,0,0,0,1732,4076,0,966,24,0,89,1304,5632,30,2432,0,1603,0,0,0,0,500,89,0,2726,0,0,0,0,0,1529,362,0,0,0,0,0,1202,0,931,0,0,3,0,861,276,0,230,1544,1,742,114,923,0,0,261,303,388,2857,0,0,1540,344,0,2912,412,4,6,153,0,0,0,4,577,723,96,0,736,2826,2768,0,153,0,0,0,0,0,0,0,0,0,0,6,0,338,0,2865,1820,0,0,198,0,546,0,0,56,886,0,0,479,0,0,0,138,39,807,5113
SAMPLE_58,0,150,1409,0,0,1350,4124,1729,2,0,0,16,1688,1574,0,777,0,0,1137,273,664,0,0,0,0,1041,0,0,0,0,0,223,145,0,0,0,0,419,48,0,351,1,356,522,0,0,2,1046,0,659,6,0,1280,32,2389,0,0,0,0,0,0,0,0,0,600,3495,1974,74,15,887,0,0,0,0,257,559,35,2453,0,0,0,0,0,0,108,0,825,0,9490,0,0,976,0,56,0,0,2913,0,1684,8269,439,0,48,267,0,0,0,438,103,1353,377,1292,72,294,0,1089,92,0
SAMPLE_59,508,0,0,204,219,837,6660,0,0,0,1070,0,2089,4727,0,8898,0,0,0,0,3463,3915,1432,23,0,2393,0,0,17,1105,237,0,0,0,0,0,0,0,0,942,785,0,145,90,0,0,1009,0,0,2037,629,0,380,54,35,0,0,181,0,129,35,1703,1675,1585,0,2340,0,1,0,926,207,0,0,0,0,1817,1008,0,0,1417,0,0,421,0,0,843,0,0,1810,2,0,0,1810,0,0,41,48,0,3085,964,0,0,956,275,0,0,728,0,0,0,0,2162,0,0,0,690,138,0
SAMPLE_60,684,413,1968,9,503,537,1815,202,0,0,0,0,2058,2250,0,434,0,0,0,267,0,0,78,0,0,2564,0,0,4741,0,0,54,0,0,0,0,0,0,0,0,932,0,0,1072,0,62,0,0,0,1049,0,2085,0,0,2180,0,0,308,0,28,0,1417,802,0,1233,0,528,0,0,2093,0,0,0,0,1048,1752,2702,30,0,434,0,0,0,0,2337,0,1055,836,3117,13,0,631,0,0,0,0,866,0,0,2840,1384,8,4050,1033,0,3,0,0,0,12,242,258,0,0,250,0,500,116
SAMPLE_61,196,0,2519,0,30,27,4505,16,0,0,0,0,2705,4000,0,2629,0,707,0,2664,6,0,543,31,2267,842,0,49,3672,0,0,1302,0,0,2944,0,0,0,1580,1911,280,48,1,268,0,21,24,1962,587,1221,0,0,1,131,4080,0,0,0,0,1520,0,6123,1172,0,56,0,8,4,0,1,2363,0,0,0,0,805,0,2187,2922,0,824,0,1,0,510,2,35,1781,0,692,0,0,1250,0,233,47,1699,0,0,0,0,0,6293,23,0,106,0,0,0,2215,0,1424,303,0,538,618,210,1
SAMPLE_62,383,0,0,558,0,1348,3255,762,0,2283,0,124,0,3040,0,882,0,3861,13,1351,0,0,793,180,0,0,0,1325,31,0,0,1483,442,969,0,0,0,0,55,1344,0,0,79,0,0,0,170,0,129,1695,114,0,0,971,48,110,0,229,1,392,0,795,145,348,297,5185,974,0,325,0,0,0,0,1677,0,22,0,401,2411,1808,0,0,17,0,490,0,2622,0,1201,61,0,0,85,0,0,0,144,0,1254,1323,0,0,4123,452,1,73,1781,0,67,0,657,1193,0,0,4414,0,0,1135
SAMPLE_63,30,3618,262,0,0,669,1094,0,0,0,0,1004,0,508,0,208,0,0,0,4481,983,0,0,0,0,62,0,95,797,0,0,1791,0,0,0,815,0,0,0,0,175,0,8,0,0,0,0,0,150,194,0,1302,0,1006,0,0,0,0,224,3478,0,724,0,10,1562,414,148,0,0,0,389,0,16,765,206,561,1532,0,1572,495,1548,0,0,0,2663,594,0,0,7437,0,0,0,0,398,1626,409,108,0,2115,6397,0,0,3269,881,65,41,0,0,0,0,78,858,0,998,3886,0,60,0
SAMPLE_64,0,314,0,0,0,478,0,0,457,0,0,0,5179,0,0,810,0,1860,0,0,0,0,179,0,1157,1767,249,0,2719,1,0,166,0,0,16,0,0,0,507,1683,570,0,42,531,0,27,1497,0,0,1369,1,0,2108,22,444,0,0,0,0,1601,0,0,0,515,1204,1516,105,0,7,2170,0,0,0,2102,0,1570,1066,0,0,647,56,0,1,0,2041,0,0,0,239,9,0,246,1363,0,0,1012,1122,56,1193,0,447,5,0,420,0,23,1068,0,0,195,0,987,0,0,1787,3457,0,26
SAMPLE_65,0,3705,0,3262,0,0,4711,755,0,0,0,27,0,5009,0,0,0,0,44,89,0,0,0,0,0,2977,0,0,4852,0,787,114,0,0,2210,2965,0,0,9,291,2387,1288,14,0,0,0,173,21,501,225,141,38,0,210,1747,0,0,7,0,50,0,4968,2715,1836,0,0,740,0,25,0,0,199,0,2057,227,866,2239,0,218,0,0,0,22,0,2452,0,0,0,0,230,0,25,2826,0,0,0,0,0,1654,469,17,0,2806,2,22,643,201,1963,0,0,69,465,1771,0,0,45,116,0
SAMPLE_66,0,1643,0,0,0,0,0,43,0,0,0,0,1340,1498,7,4593,0,0,0,49,1682,0,1554,0,0,1240,0,0,1731,0,0,74,0,3129,0,0,0,0,0,0,455,547,0,9,0,0,993,789,221,1663,695,0,0,51,0,0,106,0,0,0,0,256,0,201,13,2039,31,0,139,0,0,0,0,0,258,1159,316,1810,0,0,0,0,107,31,1564,0,18,0,5464,487,0,442,1036,0,0,55,6,0,0,3032,920,0,0,332,0,1470,0,0,0,0,4,0,0,176,0,11,0,5829
SAMPLE_67,0,0,2798,0,0,951,2046,167,844,314,0,1,0,1236,0,5787,0,1025,36,18,11,0,932,0,0,0,0,0,290,0,1012,153,0,0,0,0,0,489,1829,0,0,682,42,29,0,0,1883,2011,371,1326,1494,0,0,0,782,0,155,0,26,1533,0,1615,1880,843,114,1507,382,0,0,0,0,0,53,0,14,8,44,757,0,257,0,0,18,0,1584,0,86,0,15621,115,0,0,296,1,0,0,326,2296,2893,12141,846,0,1261,63,0,0,0,1911,164,154,0,381,1761,0,1038,0,10,1078
SAMPLE_68,59,3199,0,493,0,40,3140,0,42,0,0,0,635,2498,0,0,0,0,0,0,544,0,78,0,0,2283,0,0,886,0,311,187,0,0,197,226,0,0,47,0,2805,0,0,0,0,0,2439,0,306,733,0,0,7,35,22,0,0,0,0,298,0,1698,2668,0,0,890,456,18,0,126,0,0,0,0,0,854,547,2684,571,0,2295,0,151,0,1925,91,0,1311,3428,423,0,643,0,0,0,8,1055,0,1255,2831,0,0,0,0,0,966,0,1749,0,0,0,2645,2681,0,79,85,349,2572
SAMPLE_69,1350,873,0,0,0,227,3534,0,0,0,0,0,10,2576,0,248,0,0,0,244,0,0,1123,0,1472,2455,0,0,865,0,0,160,0,0,0,1164,0,0,30,905,1145,0,0,561,0,0,82,0,115,896,85,0,0,807,3655,0,0,0,645,0,0,1412,0,157,0,0,38,0,292,1970,3531,0,1845,0,24,255,0,0,714,0,0,10,0,0,6255,0,0,1391,4041,0,0,616,0,0,204,252,0,0,726,4236,523,0,976,116,215,701,393,1198,0,0,396,0,0,0,5727,1072,0,0
SAMPLE_70,0,138,0,1952,675,0,5349,1268,474,0,0,0,2440,5757,0,3573,0,4349,0,0,428,0,195,354,379,0,0,0,0,0,0,0,0,0,34,0,0,0,2517,2885,306,1164,137,73,0,0,279,0,177,0,143,0,0,71,4578,0,0,22,0,5094,2873,2202,0,1030,0,0,2325,0,0,0,0,0,0,0,16,879,55,613,0,0,0,0,187,543,987,0,0,2171,0,102,0,320,1979,0,0,35,0,0,1621,56,0,0,2110,0,0,97,1303,0,0,995,501,1417,0,997,304,311,82,1929
SAMPLE_71,0,289,0,0,0,40,1614,0,0,0,0,5,3786,1964,0,456,0,395,2629,78,0,0,0,364,171,1853,0,2652,2429,0,0,784,50,0,1187,0,0,0,2,62,658,525,0,0,0,0,924,1258,677,1073,590,0,1898,37,0,41,45,0,39,87,0,2175,0,0,427,2235,24,126,143,1953,0,0,0,12,17,1436,1226,161,0,0,78,0,3,0,0,0,303,660,0,21,0,291,54,0,0,0,262,0,2891,3575,0,0,7144,802,0,1259,2993,1553,0,2190,173,2450,1930,0,5886,553,80,327
SAMPLE_72,80,579,0,13,440,53,0,3700,0,0,0,58,85,0,0,0,0,3316,2447,474,1,0,373,46,1442,2802,0,0,2290,0,383,0,0,0,179,818,2267,0,0,0,987,0,0,0,0,15,9,0,3,1012,8,0,1273,92,0,0,0,0,36,2938,0,0,0,48,0,1214,5557,5,0,629,0,0,0,0,0,516,0,481,884,0,0,0,0,0,1499,0,0,0,7245,83,0,386,1148,3,0,0,0,2037,461,5478,364,0,4546,11,0,0,774,1103,0,0,1201,0,1831,1258,0,2897,1,2544
SAMPLE_73,793,487,0,0,64,3961,6445,1727,0,0,0,1716,2275,5350,0,1061,0,0,0,211,0,0,0,0,2823,3016,0,0,1162,38,0,0,0,0,11,2553,16,0,811,0,1083,0,280,589,0,614,312,0,0,691,2,0,0,0,1294,0,0,0,17,0,0,2267,186,2441,219,0,2505,0,0,209,0,0,0,3319,0,933,373,493,589,0,0,0,28,0,4687,0,169,0,1231,58,0,212,160,1,0,0,828,0,1292,1025,0,158,1443,5,0,945,0,0,157,83,1782,3167,33,0,3000,495,133,2601
SAMPLE_74,0,79,2897,443,0,1536,4282,0,0,0,0,0,2884,4390,0,1777,0,0,10,328,0,0,421,0,0,413,0,0,991,0,0,1451,0,0,0,0,0,313,0,0,136,0,0,0,0,0,22,2086,0,20,24,22,866,822,1133,0,0,76,777,101,0,2017,1153,0,128,44,0,177,0,385,2062,0,371,0,653,0,12,0,0,2487,499,0,0,0,1366,623,111,0,1335,0,0,442,1165,65,0,0,0,0,2692,2012,0,0,2959,285,0,0,45,1426,533,0,213,1279,28,0,0,472,505,0
SAMPLE_75,209,3580,92,23,5,1840,556,36,455,562,0,1357,0,2654,0,0,0,5217,3902,4537,0,0,0,0,0,4339,0,0,0,0,0,1571,0,0,0,0,44,306,2167,0,1532,0,266,513,0,0,36,365,336,1435,0,0,0,46,987,0,0,0,0,4598,0,1837,21,915,415,1500,401,0,0,0,0,0,0,0,0,469,1940,0,0,961,0,0,0,322,1791,62,3202,0,7098,0,0,426,29,22,0,231,386,0,2302,6157,0,0,2002,126,269,0,6,772,0,0,0,1433,2419,385,68,765,0,0
SAMPLE_76,315,39,0,192,0,54,452,0,20,0,0,0,3439,541,0,5025,0,0,0,0,69,2346,939,24,0,277,0,62,29,0,0,0,0,0,803,0,0,0,11,0,83,0,363,0,0,439,947,0,93,1426,0,0,0,37,39,0,0,0,0,87,0,0,5640,0,0,1930,8,0,0,25,0,0,200,0,0,971,21,1801,0,0,48,877,402,0,558,0,0,1667,0,0,0,277,3725,0,0,0,0,0,0,0,0,83,111,562,0,0,0,0,1462,882,0,25,0,14,620,0,263,2981
SAMPLE_77,846,0,0,36,0,835,2494,0,440,0,0,835,25,2769,0,325,0,595,3079,126,628,0,273,52,0,23,0,60,591,0,0,433,0,0,0,0,0,120,833,0,0,21,0,0,0,10,131,0,0,182,129,0,0,1189,0,0,0,0,0,1374,0,0,1642,0,220,0,2041,0,397,55,0,0,837,0,2,160,0,736,0,761,66,0,13,0,3644,0,164,0,6548,392,0,0,1736,0,537,465,0,0,265,6088,1701,364,0,189,0,0,2584,1945,0,0,0,657,2608,641,3136,0,779,398
SAMPLE_78,0,0,0,619,737,4701,5553,278,3331,0,0,41,0,7167,630,8021,0,461,0,0,41,0,1424,0,36,2411,526,0,4760,232,0,0,0,0,1329,1060,3251,0,3423,7,0,24,0,1145,0,0,1013,0,0,1332,434,0,0,1023,4510,0,184,0,0,1017,0,8780,3082,1779,0,1532,3441,0,74,0,766,0,0,0,0,751,0,161,2645,0,0,8,696,0,1713,0,0,0,0,109,0,305,240,0,0,0,1853,0,3424,151,1206,0,5121,44,0,0,0,0,0,0,1022,0,0,0,0,2328,1,121
SAMPLE_79,260,44,0,0,0,880,4271,0,1841,2523,0,0,2278,5248,0,3886,0,6551,0,0,24,0,581,0,0,0,0,188,244,0,0,842,0,0,0,439,0,0,2001,0,0,2054,0,0,0,0,0,4663,1547,1434,0,1032,0,648,3275,0,0,0,0,5698,0,0,294,0,0,1723,210,0,0,0,0,0,0,2966,134,845,890,0,922,0,0,0,276,0,35,0,0,0,0,0,0,0,0,0,1406,220,1470,0,5112,0,0,0,0,142,0,482,0,0,0,597,47,0,0,0,0,0,1,0
SAMPLE_80,0,4774,2754,0,0,0,490,20,0,0,0,52,0,566,0,4489,951,0,0,3870,921,0,1113,43,0,0,0,0,2410,26,0,721,0,0,1479,511,0,0,33,0,2067,29,0,660,0,0,0,1900,14,873,0,0,0,0,68,0,0,0,0,78,0,1831,3138,1070,0,1634,1782,0,711,0,605,0,0,2125,20,615,2021,1697,997,0,267,0,367,0,3084,0,0,0,0,259,0,0,2153,0,480,0,26,0,0,576,0,0,1372,0,35,27,0,0,0,2011,0,0,0,1550,3337,0,235,35
SAMPLE_81,100,15,0,0,0,1613,6585,0,2963,2314,0,69,3070,6351,275,2829,0,1381,0,1045,1437,0,464,0,0,0,0,0,3848,0,0,1115,0,0,500,2024,0,0,3082,0,34,0,76,0,0,0,211,360,604,441,114,87,0,26,1412,0,0,65,165,3654,0,4223,0,2015,1748,550,380,0,0,147,0,0,0,0,0,1334,2,616,0,462,0,0,8,0,2439,0,4294,0,7109,363,0,88,0,1337,1537,3,652,0,0,5642,0,0,2613,669,25,992,0,0,146,1481,0,372,0,287,3650,2821,106,1049
SAMPLE_82,232,0,0,0,0,1064,2275,1206,735,0,0,136,982,2576,0,0,0,3220,3538,96,132,0,420,288,0,2265,227,2044,1664,0,0,0,13,0,709,0,0,0,1403,157,929,292,31,376,0,0,0,0,0,575,0,0,1013,1463,4875,0,0,0,0,2652,0,0,0,0,25,703,1291,5,0,491,0,0,0,117,770,0,0,2359,3482,1310,0,0,239,0,267,0,78,0,6777,389,0,0,1352,84,0,478,2054,0,0,6008,0,0,0,441,58,0,0,0,1205,0,0,0,0,0,102,0,23,0
SAMPLE_83,389,3674,0,175,0,0,2797,1315,59,0,0,59,0,5468,207,318,0,0,0,1669,38,0,74,236,0,822,0,2199,1898,1044,573,0,396,0,0,214,1782,0,91,222,298,0,68,0,0,0,0,0,0,444,0,0,0,331,287,0,0,341,138,58,27,0,1436,0,211,535,3669,0,0,0,529,0,0,38,0,609,3121,0,220,0,0,0,0,0,5824,0,2592,0,15365,0,0,0,1556,0,0,0,1114,0,1614,12526,1237,908,0,164,0,0,1989,255,0,0,0,0,0,0,3348,1926,2,849
SAMPLE_84,828,0,0,2918,465,2661,4936,157,15,0,0,0,2911,3830,19,0,0,0,0,2173,0,0,134,106,0,17,7,53,0,0,0,0,0,0,1742,0,0,826,17,13,37,24,30,0,0,0,1165,0,0,928,22,434,115,1070,0,0,0,19,0,289,2353,2358,4881,0,0,0,991,0,29,65,0,0,0,0,719,2502,0,2273,0,0,0,0,0,0,37,596,0,0,8734,633,0,659,5268,21,0,0,47,0,1675,5081,0,24,1397,176,0,1482,267,1300,0,1166,802,2379,1666,84,267,54,0,175
SAMPLE_85,0,393,0,0,0,0,4768,54,0,0,0,40,2536,0,0,11,0,0,0,711,1141,0,0,68,0,0,28,172,2843,0,0,208,67,0,2462,1488,0,372,1376,14,0,52,0,36,0,555,392,2259,0,888,270,0,0,96,612,0,0,0,0,377,0,5831,0,105,463,0,44,0,385,3787,0,935,0,348,314,1957,1106,786,3570,0,2655,0,0,0,0,0,436,0,723,341,0,0,1346,0,0,0,273,868,2653,0,0,24,3335,513,0,1128,86,0,0,2119,1745,1402,0,0,6333,0,699,91
SAMPLE_86,0,287,0,0,0,2121,0,27,0,894,0,160,3585,4160,0,3397,0,0,0,0,2292,0,564,1494,0,1676,148,1048,6600,0,0,369,0,0,1080,419,0,0,77,331,554,24,542,727,0,461,2338,0,13,1363,22,0,0,1590,1140,0,0,262,0,0,0,5336,0,45,0,4803,608,0,9,0,0,0,0,1053,238,1409,63,2804,596,2728,0,0,172,0,4813,0,0,0,7516,844,0,660,1178,0,2215,0,1078,0,0,4872,208,0,3035,441,0,0,2438,0,2331,1337,296,345,0,0,5529,771,164,328
SAMPLE_87,0,0,0,0,0,17,0,24,0,1545,0,1638,1150,0,352,50,1109,2209,0,663,120,0,739,29,0,0,0,57,1293,0,21,1645,0,0,0,0,265,0,1668,37,0,11,0,0,526,0,1058,0,511,939,1031,178,0,47,0,387,0,0,1196,2374,0,0,843,1166,0,1099,74,0,0,69,576,0,156,1195,588,1164,0,0,0,0,0,0,0,0,3021,0,1131,0,0,0,0,261,878,20,722,12,0,0,0,0,224,0,0,0,0,0,761,0,0,762,3947,0,1848,0,2845,3711,322,39
SAMPLE_88,270,307,0,1880,50,0,6150,21,1637,0,0,0,4105,3746,0,2533,0,1319,2270,2579,1063,0,418,0,0,2185,0,0,2643,0,0,0,0,0,1914,0,2100,0,1687,0,750,3,0,0,0,18,140,0,0,1649,14,0,0,0,3576,0,0,0,4,2150,0,5667,849,1183,317,3619,0,0,0,1679,0,0,0,1771,0,2051,49,1254,2924,1200,1524,0,305,0,2900,0,0,0,11269,232,0,781,942,20,0,0,1819,0,1973,9056,0,0,5681,276,0,14,0,0,0,1558,462,1764,124,0,4383,0,264,0
SAMPLE_89,1252,0,0,0,0,0,0,2190,109,0,0,0,2996,1483,374,407,0,0,0,366,0,0,129,107,0,2680,0,145,1808,0,8,15,52,0,0,1169,0,0,0,993,891,0,0,0,0,0,97,0,239,2324,73,322,0,1085,0,39,0,0,200,1881,0,974,2516,115,32,4141,2406,0,0,0,0,0,0,0,0,1255,6,0,2975,0,0,0,0,0,1456,206,285,0,2874,0,0,0,124,81,0,0,0,0,928,0,0,41,929,34,0,904,479,0,0,2504,1026,136,0,282,167,0,39,2266
SAMPLE_90,0,456,0,0,0,82,3135,0,1500,1899,0,0,1187,3118,187,360,0,4606,2590,4,687,0,93,496,0,2160,0,777,3078,0,0,561,0,0,0,1724,0,0,1662,2032,1007,0,85,0,0,359,1958,0,11,790,392,0,0,50,4052,0,5,0,0,1815,0,0,508,1034,805,0,199,0,0,90,0,0,35,0,0,406,91,549,1931,66,83,0,8,0,2442,0,0,0,6145,0,0,0,319,0,0,18,3051,0,2764,5744,0,0,83,91,228,0,1276,0,0,659,2814,0,1962,768,122,0,0,761
SAMPLE_91,0,757,0,0,0,0,4009,0,1424,125,0,64,0,1682,393,0,0,6179,0,458,0,0,0,0,0,159,0,0,1123,103,0,42,0,0,2110,366,0,0,1519,0,82,0,20,0,0,0,1243,2264,0,875,1140,316,43,11,2724,0,0,0,0,5202,0,2005,0,1075,685,1004,0,0,0,237,500,33,0,50,336,122,145,409,625,807,0,144,0,0,3501,0,601,0,869,57,0,0,136,0,0,0,1143,2021,2339,0,0,0,1134,137,0,13,0,0,165,0,124,1287,0,0,1292,516,0,0
SAMPLE_92,428,261,0,0,0,115,1456,0,322,0,0,1099,0,1814,0,2610,0,0,0,631,634,144,413,1022,0,1746,0,0,206,0,0,0,0,0,0,108,0,74,950,0,528,0,19,0,0,650,65,0,13,239,0,0,44,301,445,0,0,138,0,582,0,480,5037,686,135,855,404,1,0,94,0,0,0,897,0,771,1167,219,200,0,0,0,8,0,0,0,114,2291,0,39,0,76,3170,0,0,0,261,0,3830,0,0,0,406,102,0,0,906,0,0,0,1284,0,0,0,1942,0,696,0
SAMPLE_93,224,997,0,0,0,4438,2531,845,197,0,0,12,1092,2829,294,4025,0,0,0,2256,789,0,716,23,0,2197,13,0,2828,14,0,160,0,0,0,0,0,0,223,0,816,0,20,0,0,0,0,0,153,686,0,115,0,217,2160,0,0,0,12,0,0,2536,0,65,962,2650,1799,0,0,1189,0,0,194,0,0,0,289,203,0,325,0,0,72,0,0,0,2796,0,8435,0,0,0,1617,0,0,55,2155,2108,317,4819,0,0,3316,188,0,58,0,1449,0,0,4559,688,1289,2757,0,2032,0,0
SAMPLE_94,281,0,0,0,0,1093,3031,0,0,0,0,0,0,1640,622,2320,0,3168,165,2616,128,0,1255,554,2476,2324,0,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,16,293,0,19,217,394,1765,1040,232,0,0,855,589,0,0,336,0,2905,50,992,0,0,0,1803,240,0,0,0,0,0,1153,0,0,33,20,926,0,0,0,0,305,0,102,0,0,0,2874,196,0,21,323,1490,0,0,289,0,925,3154,0,0,3432,147,0,182,410,0,0,1805,0,908,0,0,636,4744,24,0
SAMPLE_95,0,1158,0,0,524,248,0,2775,553,0,0,146,7140,0,0,156,0,68,361,1,0,0,0,0,0,0,0,0,651,449,0,178,0,0,692,0,0,97,2204,0,2587,0,0,0,0,0,0,0,295,2934,0,205,0,192,1274,0,0,0,53,1971,0,2042,2924,953,777,0,2863,0,197,0,0,0,0,0,19,3370,180,294,2274,0,25,0,11,0,5129,0,0,0,0,413,0,0,3070,0,2224,1393,1370,278,348,826,0,0,0,253,0,2184,0,0,0,1892,237,785,5727,0,4359,0,0,358
